"","individual.ID","genotype","rate.type","treatment","E","Eh","lnc","Th"
"45","M502c","M5","R","T2",0.0209245697358997,1.74402021988706e-07,1.64052070659664,227.564246382196
"46","M502d","M5","GP","T2",0.245596319906168,5.74408642076656,1.36478280968104,307.361157996062
"47","M502d","M5","R","T2",0.0132345875792303,7.04510509872305e-07,1.62331526387174,306.966918884009
"48","M503a","M5","GP","T3",0.048873401520969,16.1004069273251,1.3402161325179,306.964311664183
"49","M503a","M5","R","T3",0.0243646632178692,3.72682920498763e-08,1.62619441457802,432.02917166032
"50","M503b","M5","GP","T3",0.169868810014953,5.90406197021944,1.34640366707948,307.657868000519
"51","M503b","M5","R","T3",0.0364758180130528,2.07789322735338e-05,1.61705814595951,296.431174499886
"52","M503c","M5","GP","T3",0.136804272150343,12.9546605981719,1.32588134768432,307.135576346046
"53","M503c","M5","R","T3",0.0199576532670732,9.78231419868122e-07,1.63768450670194,302.129765939136
"54","M503d","M5","GP","T3",0.0282263960909259,36.6529804619119,1.360253711334,306.760216083962
"55","M503d","M5","R","T3",0.029485244168759,1.03183829765994e-07,1.60882570804385,343.594433417855
"56","M50Ca","M5","R","C",0.0697008810561946,8.71935873306388e-08,1.57079114039399,301.227366796015
"57","M50Cb","M5","GP","C",0.706907749697428,3.31280174808229,1.4813210441187,305.667462196604
"58","M50Cb","M5","R","C",0.0296403951165897,1.40388824535984e-06,1.58672765904218,329.264504097176
"59","M50Cc","M5","GP","C",0.141484120544574,13.6553465145483,1.35536821042347,306.862542939088
"60","M50Cc","M5","R","C",0.0102089270171116,6.71837621590345e-07,1.65472114587152,0.0996094516561506
"61","M601a","M6","GP","T1",0.226048490497187,11.5459841702645,1.34523463607918,307.17014537558
"62","M601a","M6","R","T1",6.67304448004552e-06,0.00739840872337935,1.61689879551647,351.884753486093
"63","M601b","M6","GP","T1",0.082260135582441,15.3482543059866,1.42771186240681,306.671037390105
"64","M601b","M6","R","T1",0.0164390531627479,6.8701171180114e-08,1.59303891642383,293.052919943588
"65","M601c","M6","GP","T1",2.55516969198985,3.27188392747919,2.43562686637561,298.725719053576
"66","M601c","M6","R","T1",0.038096728783211,9.27162210771912e-07,1.61283888012664,308.805540331467
"67","M601d","M6","GP","T1",0.0620810017789286,17.0115045292194,1.35891653092122,306.952006162894
"68","M601d","M6","R","T1",0.0369923509383216,6.49998861250549e-07,1.63956934682345,722.043635903112
"69","M602a","M6","GP","T2",0,10.3553493726242,1.35768453740717,307.547353584518
"70","M602a","M6","R","T2",0.0612980532331446,6.83134869896349e-08,1.62356138189539,9.71668528422346
"71","M602b","M6","GP","T2",0.158560135723732,10.7297738787891,1.31789025574344,307.102388176961
"72","M602b","M6","R","T2",0.000700792133192747,3.19746612757283e-06,1.6537186100093,143.29877336465
"73","M602c","M6","GP","T2",0,12.9409627669793,1.37036708165916,307.156587532904
"74","M602c","M6","R","T2",0.0183717239712714,3.9746026208062e-07,1.61507270478642,256.119692658769
"75","M602d","M6","GP","T2",0.103009471240968,13.1421027990345,1.34868007889946,306.992183523177
"76","M602d","M6","R","T2",0,0.0138745803062669,1.43364656405836,2126.50816595411
"77","M603a","M6","GP","T3",1.58539364832712,2.47774601822055,2.10918608542903,299.897272284004
"78","M603a","M6","R","T3",0.0593041024388747,4.46235315880955e-08,1.62472892600282,303.268526085452
"79","M603b","M6","GP","T3",0.0870532254927762,20.9726040018809,1.31981896465086,306.782630926475
"80","M603b","M6","R","T3",0.0332663000667195,5.31509055595547e-08,1.63759348988313,331.765633958048
"81","M603c","M6","GP","T3",0.092380469533945,13.5347344181532,1.34010044068452,307.036935307227
"82","M603c","M6","R","T3",0.0394235264721211,1.6857493744836e-07,1.63035611974049,300.713862605859
"83","M603d","M6","GP","T3",0.254098446030769,6.86890451383657,1.39946845015279,306.947628978122
"84","M603d","M6","R","T3",0.0420389843823014,4.8516074077765e-07,1.60675361547699,307.372091426499
"85","M60Ca","M6","R","C",0.0207505122558442,3.11282740104713e-08,1.64079339602072,311.965660228702
"86","M60Cb","M6","GP","C",0,10.0650401416601,1.36608517600033,307.601373238741
"87","M60Cb","M6","R","C",0.0303327719405943,5.28495987395442e-07,1.63985165302547,222026.749272044
"88","M60Cc","M6","GP","C",0.0554139995305104,27.0762815767296,1.33260019874107,306.534117233954
"89","M60Cc","M6","R","C",0.0117965624176772,5.86626062169509e-07,1.64477460138047,125269.102549176
"90","M60Cd","M6","GP","C",0.054873696174667,15.7186848579602,1.34813648362534,307.143027302668
"91","M60Cd","M6","R","C",0.00572715270878224,5.0000909077035e-08,1.64251143034545,301.674136969309
