"","fragment.ID.full","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype","log.rate","K","fitted","residuals"
"97","K202a_2706","K202a",27,"T2",26.46119376,0.921630488,"GP","light","K202a","K2",0.653174038162765,299.61119376,0.657820742473704,-0.00464670431093939
"98","K202a_2801","K202a",28,"T2",27.14709405,1.111393511,"GP","light","K202a","K2",0.747348161252452,300.29709405,0.671860654006712,0.0754875072457402
"99","K202a_2903","K202a",29,"T2",28.34466775,1.234973843,"GP","light","K202a","K2",0.804229524641343,301.49466775,0.696207050535138,0.108022474106205
"100","K202a_3004","K202a",30,"T2",29.42415932,0.821359036,"GP","light","K202a","K2",0.599582945506662,302.57415932,0.717838182146905,-0.118255236640243
"101","K202a_3106","K202a",31,"T2",29.99159624,1.110871355,"GP","light","K202a","K2",0.747100826696599,303.14159624,0.728788799684377,0.018312027012222
"102","K202a_3202","K202a",32,"T2",31.43756074,1.439797006,"GP","light","K202a","K2",0.891914841581981,304.58756074,0.74389594078802,0.148018900793961
"103","K202a_3303","K202a",33,"T2",32.32356975,1.230809898,"GP","light","K202a","K2",0.802364702496701,305.47356975,0.682483066590568,0.119881635906134
"104","K202a_3405","K202a",34,"T2",32.98427253,0.540276944,"GP","light","K202a","K2",0.431962234023618,306.13427253,0.449583586982774,-0.0176213529591558
"105","K202b_2704","K202b",27,"T2",26.45492399,0.847309106,"GP","light","K202b","K2",0.613730042926663,299.60492399,0.657692103150753,-0.0439620602240895
"106","K202b_2806","K202b",28,"T2",27.2788037,0.825225135,"GP","light","K202b","K2",0.601703341069869,300.4288037,0.674549099247127,-0.0728457581772584
"107","K202b_2901","K202b",29,"T2",28.40073564,1.096502114,"GP","light","K202b","K2",0.740270295975417,301.55073564,0.697340676871608,0.0429296191038092
"108","K202b_3003","K202b",30,"T2",29.32848164,0.916649681,"GP","light","K202b","K2",0.650578704014924,302.47848164,0.71594687381295,-0.0653681697980253
"109","K202b_3105","K202b",31,"T2",30.02431189,0.986005254,"GP","light","K202b","K2",0.686125211138112,303.17431189,0.729398247261995,-0.0432730361238833
"110","K202b_3206","K202b",32,"T2",31.28507227,0.547390645,"GP","light","K202b","K2",0.436570057490023,304.43507227,0.744883310168679,-0.308313252678656
"111","K202b_3302","K202b",33,"T2",32.58998733,0.80222701,"GP","light","K202b","K2",0.589023127944313,305.73998733,0.621154291634636,-0.0321311636903234
"112","K202b_3403","K202b",34,"T2",33.17739486,0.276196233,"GP","light","K202b","K2",0.24388396071605,306.32739486,0.316003757370636,-0.072119796654586
"113","K202c_2703","K202c",27,"T2",26.4303142,0.913697042,"GP","light","K202c","K2",0.64903699523587,299.5803142,0.657187121947736,-0.00815012671186643
"114","K202c_2804","K202c",28,"T2",27.10976568,0.943417673,"GP","light","K202c","K2",0.664448110237981,300.25976568,0.671098261988808,-0.00665015175082684
"115","K202c_2906","K202c",29,"T2",28.22361693,0.880958535,"GP","light","K202c","K2",0.631781505950453,301.37361693,0.693757269412327,-0.0619757634618742
"116","K202c_3001","K202c",30,"T2",29.06065201,1.013793783,"GP","light","K202c","K2",0.70002039729628,302.21065201,0.710615544881667,-0.0105951475853863
"117","K202c_3103","K202c",31,"T2",30.63144834,1.323013748,"GP","light","K202c","K2",0.842865371979972,303.78144834,0.739696212991316,0.103169158988656
"118","K202c_3205","K202c",32,"T2",31.29324462,0.968820755,"GP","light","K202c","K2",0.677434761993633,304.44324462,0.744861987259092,-0.0674272252654591
"119","K202c_3306","K202c",33,"T2",32.61182381,0.765673108,"GP","light","K202c","K2",0.568531981990325,305.76182381,0.614516572298897,-0.0459845903085713
"120","K202c_3402","K202c",34,"T2",33.19777745,0.539952512,"GP","light","K202c","K2",0.431751579586451,306.34777745,0.29965183397374,0.132099745612711
"121","K202d_2705","K202d",27,"T2",26.34020429,0.999709505,"GP","light","K202d","K2",0.693001922510506,299.49020429,0.655337395251692,0.037664527258814
"122","K202d_2806","K202d",28,"T2",27.3998401,0.950494687,"GP","light","K202d","K2",0.66808302604392,300.5498401,0.677017486184852,-0.00893446014093224
"123","K202d_2902","K202d",29,"T2",28.58641019,1.157177193,"GP","light","K202d","K2",0.768800511923655,301.73641019,0.701089494243877,0.0677110176797782
"124","K202d_3003","K202d",30,"T2",29.27583497,1.067512628,"GP","light","K202d","K2",0.726346255756791,302.42583497,0.714902831153028,0.0114434246037629
"125","K202d_3105","K202d",31,"T2",29.84755104,1.167914937,"GP","light","K202d","K2",0.773765847106552,302.99755104,0.726068816540475,0.0476970305660774
"126","K202d_3201","K202d",32,"T2",31.46096247,1.375382612,"GP","light","K202d","K2",0.865158524300901,304.61096247,0.743620397542959,0.121538126757941
"127","K202d_3302","K202d",33,"T2",32.54433803,0.906876288,"GP","light","K202d","K2",0.645466451939241,305.69433803,0.634149592904707,0.0113168590345339
"128","K202d_3404","K202d",34,"T2",33.10987077,0.363401364,"GP","light","K202d","K2",0.309982580386124,306.25987077,0.367020638574477,-0.0570380581883534
"129","M502a_2704","M502a",27,"T2",26.34128424,0.842773103,"GP","light","M502a","M5",0.611271558249208,299.49128424,0.612492982856939,-0.00122142460773111
"130","M502a_2805","M502a",28,"T2",27.33737852,0.874668515,"GP","light","M502a","M5",0.628431851792826,300.48737852,0.635149863953199,-0.00671801216037282
