fragment.ID.full,individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,genotype
M501a_3304,M501a,33,T1,32.41601549,0.381477446,NP,light,M501a,M5
M501a_3405,M501a,34,T1,33.20993692,-0.008204322,NP,light,M501a,M5
M501b_2702,M501b,27,T1,26.27576976,0.432881663,NP,light,M501b,M5
M501b_2803,M501b,28,T1,27.1743643,0.513676693,NP,light,M501b,M5
M501b_2905,M501b,29,T1,28.36482419,0.667922784,NP,light,M501b,M5
M501b_3006,M501b,30,T1,29.47159723,-0.008220228,NP,light,M501b,M5
M501b_3102,M501b,31,T1,30.46139932,0.696744297,NP,light,M501b,M5
M501b_3204,M501b,32,T1,31.26030882,0.588120586,NP,light,M501b,M5
M501b_3305,M501b,33,T1,32.46640824,0.389762275,NP,light,M501b,M5
M501b_3401,M501b,34,T1,33.00032411,0.061137744,NP,light,M501b,M5
M501c_2702,M501c,27,T1,26.51393848,0.505616919,NP,light,M501c,M5
M501c_2804,M501c,28,T1,27.15607018,0.543313297,NP,light,M501c,M5
M501c_2905,M501c,29,T1,28.33416498,0.669045403,NP,light,M501c,M5
M501c_3001,M501c,30,T1,29.11951798,0.632229337,NP,light,M501c,M5
M501c_3103,M501c,31,T1,30.50979066,0.680406838,NP,light,M501c,M5
M501c_3204,M501c,32,T1,31.28356967,0.591444694,NP,light,M501c,M5
M501c_3306,M501c,33,T1,32.39778831,0.127482643,NP,light,M501c,M5
M501c_3401,M501c,34,T1,33.0247433,0.109103748,NP,light,M501c,M5
M501d_2703,M501d,27,T1,26.45092746,0.504942286,NP,light,M501d,M5
M501d_2804,M501d,28,T1,27.07960971,0.569090164,NP,light,M501d,M5
M501d_2906,M501d,29,T1,28.09930041,0.396243737,NP,light,M501d,M5
M501d_3001,M501d,30,T1,29.13728609,0.625606503,NP,light,M501d,M5
M501d_3103,M501d,31,T1,30.53668272,0.754635167,NP,light,M501d,M5
M501d_3205,M501d,32,T1,31.1771532,0.369882505,NP,light,M501d,M5
M501d_3306,M501d,33,T1,32.61087964,0.123518503,NP,light,M501d,M5
M501d_3402,M501d,34,T1,32.94509829,0.058210596,NP,light,M501d,M5
M502a_2704,M502a,27,T2,26.34128424,0.397746029,NP,light,M502a,M5
M502a_2805,M502a,28,T2,27.33737852,0.386386071,NP,light,M502a,M5
M502a_2901,M502a,29,T2,28.29159709,0.662790281,NP,light,M502a,M5
M502a_3002,M502a,30,T2,29.37669617,0.418417475,NP,light,M502a,M5
M502a_3104,M502a,31,T2,29.89295471,0.571931067,NP,light,M502a,M5
M502a_3206,M502a,32,T2,31.37027209,0.047053031,NP,light,M502a,M5
M502a_3301,M502a,33,T2,32.4228129,0.429258256,NP,light,M502a,M5
M502a_3403,M502a,34,T2,33.24195602,-0.065071843,NP,light,M502a,M5
M502b_2702,M502b,27,T2,26.36680936,0.493610155,NP,light,M502b,M5
M502b_2803,M502b,28,T2,27.10755483,0.507846081,NP,light,M502b,M5
M502b_2905,M502b,29,T2,28.33359101,0.610355362,NP,light,M502b,M5
M502b_3006,M502b,30,T2,29.53410354,-0.025463959,NP,light,M502b,M5
M502b_3102,M502b,31,T2,30.22556431,0.580880973,NP,light,M502b,M5
M502b_3204,M502b,32,T2,31.23451846,0.498664582,NP,light,M502b,M5
M502b_3305,M502b,33,T2,32.38730323,0.226818888,NP,light,M502b,M5
M502b_3401,M502b,34,T2,33.03428728,-0.029954489,NP,light,M502b,M5
M502c_2701,M502c,27,T2,26.45390876,0.351106228,NP,light,M502c,M5
M502c_2802,M502c,28,T2,26.95631324,0.418081082,NP,light,M502c,M5
M502c_2904,M502c,29,T2,28.58688328,0.51002303,NP,light,M502c,M5
M502c_3005,M502c,30,T2,29.23617672,0.028381789,NP,light,M502c,M5
M502c_3101,M502c,31,T2,30.36687404,0.587121123,NP,light,M502c,M5
M502c_3203,M502c,32,T2,31.26550871,0.5186908,NP,light,M502c,M5
M502c_3304,M502c,33,T2,32.4080494,0.233827418,NP,light,M502c,M5
M502c_3406,M502c,34,T2,33.15373923,-0.086808818,NP,light,M502c,M5
M502d_2702,M502d,27,T2,26.21446392,0.438371543,NP,light,M502d,M5
M502d_2804,M502d,28,T2,27.17158092,0.469365737,NP,light,M502d,M5
M502d_2905,M502d,29,T2,28.41419884,0.519744473,NP,light,M502d,M5
M502d_3001,M502d,30,T2,29.04320002,0.516401294,NP,light,M502d,M5
M502d_3103,M502d,31,T2,30.22069823,0.621342476,NP,light,M502d,M5
M502d_3204,M502d,32,T2,31.18202811,0.522994125,NP,light,M502d,M5
M502d_3306,M502d,33,T2,32.57268405,0.030067891,NP,light,M502d,M5
M502d_3401,M502d,34,T2,33.07559217,-0.002809706,NP,light,M502d,M5
M503a_2701,M503a,27,T3,26.34082557,0.433606941,NP,light,M503a,M5
M503a_2803,M503a,28,T3,27.14071458,0.436030083,NP,light,M503a,M5
M503a_2904,M503a,29,T3,28.6271168,0.520804049,NP,light,M503a,M5
M503a_3006,M503a,30,T3,29.37344768,-0.021313481,NP,light,M503a,M5
M503a_3102,M503a,31,T3,30.26616997,0.565551199,NP,light,M503a,M5
M503a_3203,M503a,32,T3,31.39769327,0.552499856,NP,light,M503a,M5
M503a_3305,M503a,33,T3,32.35723031,0.288511901,NP,light,M503a,M5
M503a_3406,M503a,34,T3,33.10527515,-0.101919289,NP,light,M503a,M5
M503b_2703,M503b,27,T3,26.33363676,0.37368746,NP,light,M503b,M5
M503b_2804,M503b,28,T3,27.1393223,0.409541797,NP,light,M503b,M5
M503b_2906,M503b,29,T3,28.21418748,0.236302659,NP,light,M503b,M5
M503b_3001,M503b,30,T3,29.10915241,0.553732052,NP,light,M503b,M5
M503b_3103,M503b,31,T3,30.51218084,0.504316253,NP,light,M503b,M5
M503b_3205,M503b,32,T3,31.42705577,0.367637824,NP,light,M503b,M5
M503b_3306,M503b,33,T3,32.53770401,0.063920007,NP,light,M503b,M5
M503b_3402,M503b,34,T3,32.9521349,-0.042293565,NP,light,M503b,M5
M503c_2705,M503c,27,T3,26.44347531,0.366383002,NP,light,M503c,M5
M503c_2806,M503c,28,T3,27.25127118,0.352885463,NP,light,M503c,M5
M503c_2902,M503c,29,T3,28.46582548,0.592344049,NP,light,M503c,M5
M503c_3003,M503c,30,T3,29.33620568,0.331333572,NP,light,M503c,M5
M503c_3105,M503c,31,T3,29.87725553,0.369914339,NP,light,M503c,M5
M503c_3201,M503c,32,T3,31.28943567,0.648448583,NP,light,M503c,M5
M503c_3302,M503c,33,T3,32.48691024,0.433282699,NP,light,M503c,M5
M503c_3404,M503c,34,T3,33.14485683,0.00633777,NP,light,M503c,M5
M503d_2705,M503d,27,T3,26.4955094,0.442347248,NP,light,M503d,M5
M503d_2801,M503d,28,T3,27.18859633,0.434192761,NP,light,M503d,M5
M503d_2902,M503d,29,T3,28.54037168,0.692394962,NP,light,M503d,M5
M503d_3004,M503d,30,T3,29.42594643,0.136741981,NP,light,M503d,M5
M503d_3106,M503d,31,T3,30.06976585,0.201043457,NP,light,M503d,M5
M503d_3201,M503d,32,T3,31.40303943,0.677977658,NP,light,M503d,M5
M503d_3303,M503d,33,T3,32.53488081,0.483561738,NP,light,M503d,M5
M503d_3404,M503d,34,T3,33.25881571,-0.037806895,NP,light,M503d,M5
M50Ca_2705,M50Ca,27,C,26.51785573,0.507261315,NP,light,M50Ca,M5
M50Ca_2806,M50Ca,28,C,27.24603197,0.375936373,NP,light,M50Ca,M5
M50Ca_2902,M50Ca,29,C,28.45820459,0.7936087,NP,light,M50Ca,M5
M50Ca_3003,M50Ca,30,C,29.23151756,0.464101841,NP,light,M50Ca,M5
M50Ca_3105,M50Ca,31,C,30.0699239,0.539487264,NP,light,M50Ca,M5
M50Ca_3201,M50Ca,32,C,31.34643096,0.701562883,NP,light,M50Ca,M5
M50Ca_3302,M50Ca,33,C,32.43015666,0.50218594,NP,light,M50Ca,M5
M50Ca_3404,M50Ca,34,C,33.18135662,-0.097455834,NP,light,M50Ca,M5
M50Cb_2702,M50Cb,27,C,26.41612588,0.431796645,NP,light,M50Cb,M5
M50Cb_2804,M50Cb,28,C,27.24797158,0.526263364,NP,light,M50Cb,M5
M50Cb_2905,M50Cb,29,C,28.38731382,0.601325205,NP,light,M50Cb,M5
M50Cb_3001,M50Cb,30,C,29.01960246,0.609210658,NP,light,M50Cb,M5
M50Cb_3103,M50Cb,31,C,30.68093916,0.67701952,NP,light,M50Cb,M5
M50Cb_3204,M50Cb,32,C,31.19506624,0.612200139,NP,light,M50Cb,M5
M50Cb_3306,M50Cb,33,C,32.28596855,-0.013956518,NP,light,M50Cb,M5
M50Cb_3401,M50Cb,34,C,33.16716834,0.011106169,NP,light,M50Cb,M5
M50Cc_2701,M50Cc,27,C,26.41487449,0.427326728,NP,light,M50Cc,M5
M50Cc_2802,M50Cc,28,C,27.13856787,0.548960592,NP,light,M50Cc,M5
M50Cc_2904,M50Cc,29,C,28.73473366,0.584079465,NP,light,M50Cc,M5
M50Cc_3005,M50Cc,30,C,29.31360184,0.073051235,NP,light,M50Cc,M5
M50Cc_3101,M50Cc,31,C,30.36474967,0.774499912,NP,light,M50Cc,M5
M50Cc_3203,M50Cc,32,C,31.24165259,0.632548777,NP,light,M50Cc,M5
M50Cc_3304,M50Cc,33,C,32.46674477,0.324024573,NP,light,M50Cc,M5
M50Cc_3406,M50Cc,34,C,33.10197827,-0.135236967,NP,light,M50Cc,M5
M50Cd_2701,M50Cd,27,C,26.50462592,1.863015459,NP,light,M50Cd,M5
M50Cd_2803,M50Cd,28,C,27.06772631,2.333354827,NP,light,M50Cd,M5
M50Cd_2904,M50Cd,29,C,28.64926439,2.755367819,NP,light,M50Cd,M5
M50Cd_3006,M50Cd,30,C,29.452809,-0.163165618,NP,light,M50Cd,M5
M50Cd_3102,M50Cd,31,C,30.38137227,2.67079689,NP,light,M50Cd,M5
M50Cd_3203,M50Cd,32,C,31.32223235,2.702791383,NP,light,M50Cd,M5
M50Cd_3305,M50Cd,33,C,32.45307145,1.215445033,NP,light,M50Cd,M5
M50Cd_3407,M50Cd,34,C,33.13682895,-0.276558838,NP,light,M50Cd,M5
M601a_2705,M601a,27,T1,26.40911114,0.460270626,NP,light,M601a,M6
M601a_2806,M601a,28,T1,27.29089219,0.397767749,NP,light,M601a,M6
M601a_2902,M601a,29,T1,28.56582023,0.681685245,NP,light,M601a,M6
M601a_3003,M601a,30,T1,29.32468353,0.476281139,NP,light,M601a,M6
M601a_3105,M601a,31,T1,30.09948507,0.648317849,NP,light,M601a,M6
M601a_3201,M601a,32,T1,31.39057931,0.933385621,NP,light,M601a,M6
M601a_3302,M601a,33,T1,32.39024922,0.548722648,NP,light,M601a,M6
