individual.ID,temp.Cat,treatment,Temp.C,genotype,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,GP_umol.cm2.hr
K20Cb,30,C,29.17342892,K2,0.582223864,-0.281619789,0.863843653
K20Cb,31,C,30.17381116,K2,0.556547559,-0.397465612,0.954013171
K20Cb,32,C,31.28072116,K2,0.29968178,-0.392030535,0.691712315
K20Cb,33,C,32.5322023,K2,0.015784834,-0.346683799,0.362468633
K20Cb,34,C,32.95014258,K2,-0.127341334,-0.372996834,0.2456555
K20Cc,27,C,26.48239245,K2,0.541423676,-0.451064475,0.992488151
K20Cc,28,C,27.18490347,K2,0.578997298,-0.486902896,1.065900194
K20Cc,29,C,28.40299263,K2,0.681327567,-0.47833235,1.159659917
K20Cc,30,C,29.49292508,K2,0.145066108,-0.495637947,0.640704055
K20Cc,31,C,30.458859,K2,0.823190951,-0.571805985,1.394996936
K20Cc,32,C,31.30785126,K2,0.697414397,-0.496683465,1.194097862
K20Cc,33,C,32.46430401,K2,0.425382232,-0.449205613,0.874587845
K20Cc,34,C,33.07677828,K2,0.085651517,-0.494848359,0.580499876
K20Cd,27,C,26.33540661,K2,0.494823704,-0.410567711,0.905391415
K20Cd,28,C,27.29533164,K2,0.512075992,-0.461629496,0.973705488
K20Cd,29,C,28.15526867,K2,0.408620437,-0.467711726,0.876332163
K20Cd,30,C,29.36772391,K2,0.708502079,-0.444612632,1.153114711
K20Cd,31,C,30.12240875,K2,0.682690794,-0.548492235,1.231183029
K20Cd,32,C,31.32679298,K2,0.420608312,-0.47327414,0.893882452
K20Cd,33,C,32.49211228,K2,0.430123297,-0.569174158,0.999297455
K20Cd,34,C,33.09428512,K2,-0.010123162,-0.392268138,0.382144976
M501a,27,T1,26.3420711,M5,0.311625063,-0.416538372,0.728163435
M501a,28,T1,27.14612023,M5,0.45297449,-0.49185167,0.94482616
M501a,29,T1,28.36928644,M5,0.637241792,-0.432612298,1.06985409
M501a,30,T1,29.26746216,M5,0.072467725,-0.480770888,0.553238613
M501a,31,T1,30.47447403,M5,0.74702389,-0.541499725,1.288523615
M501a,32,T1,31.3796444,M5,0.644562632,-0.551774142,1.196336774
M501a,33,T1,32.41601549,M5,0.381477446,-0.494924439,0.876401885
M501a,34,T1,33.20993692,M5,-0.008204322,-0.373920585,0.365716263
M501b,27,T1,26.27576976,M5,0.432881663,-0.406249631,0.839131294
M501b,28,T1,27.1743643,M5,0.513676693,-0.427141075,0.940817768
M501b,29,T1,28.36482419,M5,0.667922784,-0.42043036,1.088353144
M501b,30,T1,29.47159723,M5,-0.008220228,-0.517355886,0.509135658
M501b,31,T1,30.46139932,M5,0.696744297,-0.583547345,1.280291642
M501b,32,T1,31.26030882,M5,0.588120586,-0.619248014,1.2073686
M501b,33,T1,32.46640824,M5,0.389762275,-0.445387491,0.835149766
M501b,34,T1,33.00032411,M5,0.061137744,-0.44493395,0.506071694
M501c,27,T1,26.51393848,M5,0.505616919,-0.439064993,0.944681912
M501c,28,T1,27.15607018,M5,0.543313297,-0.537745101,1.081058398
M501c,29,T1,28.33416498,M5,0.669045403,-0.55567181,1.224717213
M501c,30,T1,29.11951798,M5,0.632229337,-0.530463696,1.162693033
M501c,31,T1,30.50979066,M5,0.680406838,-0.510553041,1.190959879
M501c,32,T1,31.28356967,M5,0.591444694,-0.509454073,1.100898767
M501c,33,T1,32.39778831,M5,0.127482643,-0.45737538,0.584858023
M501c,34,T1,33.0247433,M5,0.109103748,-0.458826007,0.567929755
M501d,27,T1,26.45092746,M5,0.504942286,-0.396312345,0.901254631
M501d,28,T1,27.07960971,M5,0.569090164,-0.494497039,1.063587203
M501d,29,T1,28.09930041,M5,0.396243737,-0.471799198,0.868042935
M501d,30,T1,29.13728609,M5,0.625606503,-0.583693234,1.209299737
M501d,31,T1,30.53668272,M5,0.754635167,-0.617909382,1.372544549
M501d,32,T1,31.1771532,M5,0.369882505,-0.565269361,0.935151866
M501d,33,T1,32.61087964,M5,0.123518503,-0.426394665,0.549913168
M501d,34,T1,32.94509829,M5,0.058210596,-0.495988178,0.554198774
M502a,27,T2,26.34128424,M5,0.397746029,-0.445027074,0.842773103
M502a,28,T2,27.33737852,M5,0.386386071,-0.488282444,0.874668515
M502a,29,T2,28.29159709,M5,0.662790281,-0.574959468,1.237749749
M502a,30,T2,29.37669617,M5,0.418417475,-0.583631468,1.002048943
M502a,31,T2,29.89295471,M5,0.571931067,-0.687781548,1.259712615
M502a,32,T2,31.37027209,M5,0.047053031,-0.480554639,0.52760767
M502a,33,T2,32.4228129,M5,0.429258256,-0.46438861,0.893646866
M502a,34,T2,33.24195602,M5,-0.065071843,-0.348019265,0.282947422
M502b,27,T2,26.36680936,M5,0.493610155,-0.395027087,0.888637242
M502b,28,T2,27.10755483,M5,0.507846081,-0.460522907,0.968368988
M502b,29,T2,28.33359101,M5,0.610355362,-0.441864117,1.052219479
M502b,30,T2,29.53410354,M5,-0.025463959,-0.47430636,0.448842401
M502b,31,T2,30.22556431,M5,0.580880973,-0.620016021,1.200896994
M502b,32,T2,31.23451846,M5,0.498664582,-0.481327061,0.979991643
M502b,33,T2,32.38730323,M5,0.226818888,-0.43105117,0.657870058
M502b,34,T2,33.03428728,M5,-0.029954489,-0.375091665,0.345137176
M502c,27,T2,26.45390876,M5,0.351106228,-0.388305188,0.739411416
M502c,28,T2,26.95631324,M5,0.418081082,-0.387825103,0.805906185
M502c,29,T2,28.58688328,M5,0.51002303,-0.396509161,0.906532191
M502c,30,T2,29.23617672,M5,0.028381789,-0.454894449,0.483276238
M502c,31,T2,30.36687404,M5,0.587121123,-0.463363363,1.050484486
M502c,32,T2,31.26550871,M5,0.5186908,-0.481631838,1.000322638
M502c,33,T2,32.4080494,M5,0.233827418,-0.343805965,0.577633383
M502c,34,T2,33.15373923,M5,-0.086808818,-0.292674382,0.205865564
M502d,27,T2,26.21446392,M5,0.438371543,-0.420209363,0.858580906
M502d,28,T2,27.17158092,M5,0.469365737,-0.430202712,0.899568449
M502d,29,T2,28.41419884,M5,0.519744473,-0.386486384,0.906230857
M502d,30,T2,29.04320002,M5,0.516401294,-0.550642728,1.067044022
M502d,31,T2,30.22069823,M5,0.621342476,-0.589940238,1.211282714
M502d,32,T2,31.18202811,M5,0.522994125,-0.50397836,1.026972485
M502d,33,T2,32.57268405,M5,0.030067891,-0.410324017,0.440391908
M502d,34,T2,33.07559217,M5,-0.002809706,-0.324848136,0.32203843
M503a,27,T3,26.34082557,M5,0.433606941,-0.408480537,0.842087478
M503a,28,T3,27.14071458,M5,0.436030083,-0.476002193,0.912032276
M503a,29,T3,28.6271168,M5,0.520804049,-0.451901488,0.972705537
M503a,30,T3,29.37344768,M5,-0.021313481,-0.332009417,0.310695936
M503a,31,T3,30.26616997,M5,0.565551199,-0.608268199,1.173819398
