"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species"
"2180",305.089666532851,0.798683577778414,0.959720645755145,0.895528575112083,"MA1","deep","GP","PAST"
"2181",305.159837704096,0.791741218703064,0.952520896611604,0.889837444970878,"MA1","deep","GP","PAST"
"2182",305.230008875341,0.784655286333259,0.945109137952986,0.883958480586565,"MA1","deep","GP","PAST"
"2183",305.300180046586,0.77742480081572,0.937482799217884,0.877888388135829,"MA1","deep","GP","PAST"
"2184",305.370351217831,0.770048815226171,0.929639374941459,0.871623893392435,"MA1","deep","GP","PAST"
"2185",305.440522389076,0.762526416656151,0.921576428871199,0.865161746026827,"MA1","deep","GP","PAST"
"2186",305.510693560321,0.754856727280936,0.91329159804431,0.858498724006714,"MA1","deep","GP","PAST"
"2187",305.580864731566,0.747038905406338,0.904782596813879,0.851631638089768,"MA1","deep","GP","PAST"
"2188",305.651035902811,0.73907214649208,0.896047220810731,0.84455733639869,"MA1","deep","GP","PAST"
"2189",305.721207074056,0.730955684149245,0.88708335082755,0.83727270906797,"MA1","deep","GP","PAST"
"2190",305.791378245301,0.722688791109708,0.877888956612274,0.829774692951245,"MA1","deep","GP","PAST"
"2191",305.861549416546,0.714270780164994,0.86846210055724,0.822060276377009,"MA1","deep","GP","PAST"
"2192",305.931720587791,0.705701005072432,0.858800941271133,0.814126503940067,"MA1","deep","GP","PAST"
"2193",306.001891759036,0.696978861426134,0.848903737020545,0.805970481315157,"MA1","deep","GP","PAST"
"2194",306.072062930281,0.688103787490741,0.83876884902864,0.797589380078851,"MA1","deep","GP","PAST"
"2195",306.142234101526,0.679075264995565,0.828394744618327,0.788980442524965,"MA1","deep","GP","PAST"
"2196",306.212405272771,0.669892819887107,0.817780000188094,0.780140986458471,"MA1","deep","GP","PAST"
"2197",306.282576444016,0.660556023037708,0.806923304008821,0.771068409952209,"MA1","deep","GP","PAST"
"2198",306.352747615261,0.651064490908458,0.795823458830751,0.761760196050566,"MA1","deep","GP","PAST"
"2199",306.422918786506,0.641417886164345,0.784479384290205,0.75221391740384,"MA1","deep","GP","PAST"
"2200",306.493089957751,0.631615918239858,0.773290764754893,0.742427240816882,"MA1","deep","GP","PAST"
"2201",306.563261128996,0.621658343853167,0.761975855123083,0.732397931695363,"MA1","deep","GP","PAST"
"2202",306.633432300241,0.611544967467441,0.751721553027118,0.722123858373277,"MA1","deep","GP","PAST"
"2203",306.703603471486,0.601275641697612,0.741999510492292,0.711602996304999,"MA1","deep","GP","PAST"
"2204",306.773774642731,0.590756504290175,0.732009384994255,0.700833432105755,"MA1","deep","GP","PAST"
"2205",306.843945813976,0.579250910458003,0.721899070853405,0.689813367424266,"MA1","deep","GP","PAST"
"2206",306.914116985221,0.567615207096479,0.711713012918213,0.678541122632133,"MA1","deep","GP","PAST"
"2207",306.984288156466,0.555850307721874,0.701247338791654,0.667015140314683,"MA1","deep","GP","PAST"
"2208",307.054459327711,0.543957152499766,0.690497912873737,0.655233988548754,"MA1","deep","GP","PAST"
"2209",307.124630498956,0.531936707484276,0.679460701411514,0.643196363953483,"MA1","deep","GP","PAST"
"2210",307.194801670201,0.519789963843059,0.668131781289627,0.63090109450108,"MA1","deep","GP","PAST"
"2211",307.264972841446,0.507517937069245,0.656507348816743,0.618347142075498,"MA1","deep","GP","PAST"
"2212",307.335144012691,0.495121666181067,0.644583728472129,0.605533604767446,"MA1","deep","GP","PAST"
"2213",307.405315183936,0.482602212910712,0.632357381575941,0.592459718896032,"MA1","deep","GP","PAST"
"2214",307.475486355181,0.469960660883086,0.619824914844854,0.579124860747626,"MA1","deep","GP","PAST"
"2215",307.545657526426,0.457198114785874,0.606983088794364,0.565528548024392,"MA1","deep","GP","PAST"
"2216",307.615828697671,0.444315699531757,0.593828825947937,0.551670440995744,"MA1","deep","GP","PAST"
"2217",307.685999868916,0.43131455941401,0.580359218813127,0.53755034334758,"MA1","deep","GP","PAST"
"2218",307.756171040161,0.418195857256497,0.566571537584498,0.523168202725379,"MA1","deep","GP","PAST"
"2219",307.826342211406,0.404960773559222,0.552463237533552,0.508524110968717,"MA1","deep","GP","PAST"
"2220",307.896513382651,0.391610505640308,0.538031966046152,0.493618304035911,"MA1","deep","GP","PAST"
"2221",307.966684553896,0.37814626677567,0.52327556926918,0.478451161619299,"MA1","deep","GP","PAST"
"2222",308.036855725141,0.364569285337315,0.508192098329134,0.463023206452783,"MA1","deep","GP","PAST"
"2223",308.107026896386,0.35088080393141,0.492779815087092,0.44733510331483,"MA1","deep","GP","PAST"
"2224",308.177198067631,0.33708207853693,0.477037197396107,0.43138765773121,"MA1","deep","GP","PAST"
"2225",308.247369238875,0.32317437764614,0.460962943829772,0.415181814383559,"MA1","deep","GP","PAST"
"2226",308.317540410121,0.309158981407779,0.444555977852857,0.398718655230726,"MA1","deep","GP","PAST"
"2227",308.387711581365,0.29503718077395,0.427815451407949,0.381999397351323,"MA1","deep","GP","PAST"
"2228",308.45788275261,0.280810276651636,0.41074074789503,0.365025390516927,"MA1","deep","GP","PAST"
