fragment.ID.full,Temp.C.x,fragment.ID,genotype,run.x,temp.Cat,light_dark.x,treatment,umol.sec.corr.x,umol.cm2.hr.x,umol.cm2.hr.c.x,ln.rate.x,rate.type.x,frag.ID,fragment.ID.full.y,Temp.C.y,run.y,light_dark.y,umol.sec.corr.y,umol.cm2.hr.y,umol.cm2.hr.c.y,ln.rate.y,rate.type.y,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr
K202d_2705,26.34020429,K202d,K2,2705,27,light,T2,0.009156106,0.594449057,0.594449057,-0.364636472,NP,K202d_2705,K202d_2705D,26.29623047,2705D,dark,-0.006242095,-0.405260448,0.405260448,-0.682681244,R,0.594449057,0.405260448
K202d_2806,27.3998401,K202d,K2,2806,28,light,T2,0.007873786,0.511195981,0.511195981,-0.492337617,NP,K202d_2806,K202d_2806D,27.30777521,2806D,dark,-0.006766375,-0.439298707,0.439298707,-0.617485675,R,0.511195981,0.439298707
K202d_2902,28.58641019,K202d,K2,2902,29,light,T2,0.01059231,0.687692894,0.687692894,-0.238646993,NP,K202d_2902,K202d_2902D,28.55013967,2902D,dark,-0.007231314,-0.469484299,0.469484299,-0.563024066,R,0.687692894,0.469484299
K202d_3003,29.27583497,K202d,K2,3003,30,light,T2,0.007948221,0.516028599,0.516028599,-0.48446189,NP,K202d_3003,K202d_3003D,29.29940028,3003D,dark,-0.008494329,-0.551484029,0.551484029,-0.428502397,R,0.516028599,0.551484029
K202d_3105,29.84755104,K202d,K2,3105,31,light,T2,0.009597712,0.623119808,0.623119808,-0.324180361,NP,K202d_3105,K202d_3105D,30.00753486,3105D,dark,-0.008391302,-0.544795129,0.544795129,-0.438822643,R,0.623119808,0.544795129
K202d_3201,31.46096247,K202d,K2,3201,32,light,T2,0.012169669,0.79010096,0.79010096,-0.116420385,NP,K202d_3201,K202d_3201D,31.45008096,3201D,dark,-0.009014903,-0.585281652,0.585281652,-0.377925354,R,0.79010096,0.585281652
K202d_3302,32.54433803,K202d,K2,3302,33,light,T2,0.005809212,0.377156011,0.377156011,-0.739911775,NP,K202d_3302,K202d_3302D,32.43536845,3302D,dark,-0.008159109,-0.529720277,0.529720277,-0.462479562,R,0.377156011,0.529720277
K202d_3404,33.10987077,K202d,K2,3404,34,light,T2,-0.001711547,-0.111120121,0.111120121,-1.555328012,NP,K202d_3404,K202d_3404D,33.12496753,3404D,dark,-0.0073089,-0.474521486,0.474521486,-0.554217783,R,0.111120121,0.474521486
K203a_2702,26.43676416,K203a,K2,2702,27,light,T3,0.004108796,0.461614113,0.461614113,-0.576940296,NP,K203a_2702,K203a_2702D,26.40073869,2702D,dark,-0.003446077,-0.387159168,0.387159168,-0.719164375,R,0.461614113,0.387159168
K203a_2803,27.1939769,K203a,K2,2803,28,light,T3,0.004424795,0.49711596,0.49711596,-0.515643946,NP,K203a_2803,K203a_2803D,27.17851091,2803D,dark,-0.003700067,-0.415694306,0.415694306,-0.662241119,R,0.49711596,0.415694306
K203a_2905,28.31667203,K203a,K2,2905,29,light,T3,0.00603382,0.677886359,0.677886359,-0.251174834,NP,K203a_2905,K203a_2905D,28.29820022,2905D,dark,-0.003993545,-0.448665963,0.448665963,-0.600265468,R,0.677886359,0.448665963
K203a_3006,29.37363933,K203a,K2,3006,30,light,T3,0.000262344,0.029473732,0.029473732,-2.044277261,NP,K203a_3006,K203a_3006D,29.30212568,3006D,dark,-0.004727815,-0.531159514,0.531159514,-0.460196652,R,0.029473732,0.531159514
K203a_3102,30.42629868,K203a,K2,3102,31,light,T3,0.007104518,0.798176826,0.798176826,-0.107388319,NP,K203a_3102,K203a_3102D,30.51743025,3102D,dark,-0.005313175,-0.596923415,0.596923415,-0.361079753,R,0.798176826,0.596923415
K203a_3204,31.38979109,K203a,K2,3204,32,light,T3,0.004823769,0.541939745,0.541939745,-0.443260835,NP,K203a_3204,K203a_3204D,31.44249369,3204D,dark,-0.004911301,-0.551773739,0.551773739,-0.428057803,R,0.541939745,0.551773739
K203a_3305,32.42661286,K203a,K2,3305,33,light,T3,0.001980386,0.222491971,0.222491971,-1.131677038,NP,K203a_3305,K203a_3305D,32.46210312,3305D,dark,-0.00404658,-0.45462427,0.45462427,-0.589464386,R,0.222491971,0.45462427
