"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec"
"14","Blk1_2801D",196.85087868714,-0.000361785202219813,27.063356637466,"Blk1","BLANK","2801D",28,"dark","BLANK",NA,620,0.62,-0.000224306825376284
"15","Blk1_2802",188.345027671377,-0.000559835586935158,26.9411306545796,"Blk1","BLANK","2802",28,"light","BLANK",NA,620,0.62,-0.000347098063899798
"16","Blk1_2802D",187.72535563254,-0.000673596196839845,27.0293169707044,"Blk1","BLANK","2802D",28,"dark","BLANK",NA,620,0.62,-0.000417629642040704
"17","Blk1_2803",188.411070939171,-0.000823438516583941,27.1529609861822,"Blk1","BLANK","2803",28,"light","BLANK",NA,620,0.62,-0.000510531880282043
"18","Blk1_2803D",187.405301138749,-0.000886163311042783,27.1610462632359,"Blk1","BLANK","2803D",28,"dark","BLANK",NA,620,0.62,-0.000549421252846525
"19","Blk1_2804",180.519045585069,-0.00123957362983847,27.1687191216668,"Blk1","BLANK","2804",28,"light","BLANK",NA,620,0.62,-0.000768535650499851
"20","Blk1_2804D",179.129656968722,-0.00109024340276703,27.1223163855737,"Blk1","BLANK","2804D",28,"dark","BLANK",NA,620,0.62,-0.000675950909715559
"21","Blk1_2805",169.788310630513,-0.00128337935096964,27.2015415399695,"Blk1","BLANK","2805",28,"light","BLANK",NA,620,0.62,-0.000795695197601177
"22","Blk1_2805D",168.039276439491,-0.00135180799181339,27.1993537147748,"Blk1","BLANK","2805D",28,"dark","BLANK",NA,620,0.62,-0.000838120954924302
"23","Blk1_2806",167.240683533445,-0.00175476750610501,27.2799103903146,"Blk1","BLANK","2806",28,"light","BLANK",NA,620,0.62,-0.00108795585378511
"24","Blk1_2806D",165.214162553427,-0.0016287885526913,27.1978758994088,"Blk1","BLANK","2806D",28,"dark","BLANK",NA,620,0.62,-0.00100984890266861
"25","Blk1_2901",202.024550656707,9.96198744812875e-05,28.362045294073,"Blk1","BLANK","2901",29,"light","BLANK",NA,620,0.62,6.17643221783982e-05
"26","Blk1_2901D",202.230492665346,-6.72676686576887e-05,28.2337364922642,"Blk1","BLANK","2901D",29,"dark","BLANK",NA,620,0.62,-4.1705954567767e-05
"27","Blk1_2902",182.149896297816,-5.94424553334124e-05,28.4871304908697,"Blk1","BLANK","2902",29,"light","BLANK",NA,620,0.62,-3.68543223067157e-05
"28","Blk1_2902D",182.047397627363,-4.55340480319071e-06,28.4664267463987,"Blk1","BLANK","2902D",29,"dark","BLANK",NA,620,0.62,-2.82311097797824e-06
"29","Blk1_2903",201.867371485822,-0.000170795453949498,28.4077935036734,"Blk1","BLANK","2903",29,"light","BLANK",NA,620,0.62,-0.000105893181448689
"30","Blk1_2903D",201.5353865811,-0.000108121631935686,28.3218314993317,"Blk1","BLANK","2903D",29,"dark","BLANK",NA,620,0.62,-6.70354118001253e-05
"31","Blk1_2904",190.64562940462,-0.000302458412578584,28.6281192571915,"Blk1","BLANK","2904",29,"light","BLANK",NA,620,0.62,-0.000187524215798722
"32","Blk1_2904D",190.273782231927,-0.000303381488593587,28.4692890807077,"Blk1","BLANK","2904D",29,"dark","BLANK",NA,620,0.62,-0.000188096522928024
"33","Blk1_2905",173.086111904668,-0.00342980233426731,28.5909149290211,"Blk1","BLANK","2905",29,"light","BLANK",NA,620,0.62,-0.00212647744724573
"34","Blk1_2905D",169.123593049979,-0.00143042155066703,28.4539483299658,"Blk1","BLANK","2905D",29,"dark","BLANK",NA,620,0.62,-0.000886861361413559
"35","Blk1_2906",163.709711312446,-0.00174394339921998,28.2187755986689,"Blk1","BLANK","2906",29,"light","BLANK",NA,620,0.62,-0.00108124490751639
"36","Blk1_2906D",161.794539554589,-0.00169366003038566,28.2255100460794,"Blk1","BLANK","2906D",29,"dark","BLANK",NA,620,0.62,-0.00105006921883911
"37","Blk1_3001",181.080621184887,-0.00235092988390775,28.7491274968965,"Blk1","BLANK","3001",30,"light","BLANK",NA,620,0.62,-0.0014575765280228
"38","Blk1_3001D",178.559393419382,-0.00256302949672019,28.8988286020085,"Blk1","BLANK","3001D",30,"dark","BLANK",NA,620,0.62,-0.00158907828796652
"39","Blk1_3002",167.272580089071,-0.00316581705498258,29.4321493051856,"Blk1","BLANK","3002",30,"light","BLANK",NA,620,0.62,-0.0019628065740892
"40","Blk1_3002D",163.602393232048,-0.00301883520939337,29.4053352579145,"Blk1","BLANK","3002D",30,"dark","BLANK",NA,620,0.62,-0.00187167782982389
"41","Blk1_3003",151.512230205168,-0.00335336354294911,29.365038798689,"Blk1","BLANK","3003",30,"light","BLANK",NA,620,0.62,-0.00207908539662845
"42","Blk1_3003D",147.835419229392,-0.00319435392381807,29.3871010308652,"Blk1","BLANK","3003D",30,"dark","BLANK",NA,620,0.62,-0.0019804994327672
"43","Blk1_3004",132.220657463086,-0.00337122842267219,29.2454234756821,"Blk1","BLANK","3004",30,"light","BLANK",NA,620,0.62,-0.00209016162205676
"44","Blk1_3004D",136.098594399522,-0.00353079709957632,29.1604231538628,"Blk1","BLANK","3004D",30,"dark","BLANK",NA,620,0.62,-0.00218909420173732
"45","Blk1_3005",123.304388640711,-0.00385968583430027,29.138505926093,"Blk1","BLANK","3005",30,"light","BLANK",NA,620,0.62,-0.00239300521726617
"46","Blk1_3005D",119.098919247812,-0.00368934557681615,29.16360387088,"Blk1","BLANK","3005D",30,"dark","BLANK",NA,620,0.62,-0.00228739425762601
"47","Blk1_3006",155.399043891488,-0.00131729411015444,29.4212171393054,"Blk1","BLANK","3006",30,"light","BLANK",NA,620,0.62,-0.000816722348295753
"48","Blk1_3006D",153.993392037965,-0.00114614781842155,29.3226687270649,"Blk1","BLANK","3006D",30,"dark","BLANK",NA,620,0.62,-0.000710611647421361
"49","Blk1_3101",182.163890964475,-0.00107007632899368,30.3111519550656,"Blk1","BLANK","3101",31,"light","BLANK",NA,620,0.62,-0.000663447323976082
"50","Blk1_3101D",180.993529923269,-0.00152836452597789,30.3296628256103,"Blk1","BLANK","3101D",31,"dark","BLANK",NA,620,0.62,-0.000947586006106292
"51","Blk1_3102",164.454608832716,-0.00151792516417795,30.3775172717945,"Blk1","BLANK","3102",31,"light","BLANK",NA,620,0.62,-0.000941113601790329
"52","Blk1_3102D",162.686858752371,-0.00178097255414344,30.4572512214248,"Blk1","BLANK","3102D",31,"dark","BLANK",NA,620,0.62,-0.00110420298356893
"53","Blk1_3103",150.807481248317,-0.00164722336815016,30.4464759575284,"Blk1","BLANK","3103",31,"light","BLANK",NA,620,0.62,-0.0010212784882531
"54","Blk1_3103D",148.899042544098,-0.00160283704427068,30.3660712027638,"Blk1","BLANK","3103D",31,"dark","BLANK",NA,620,0.62,-0.000993758967447821
"55","Blk1_3104",144.408006290374,-0.00198935783202621,30.0978354752448,"Blk1","BLANK","3104",31,"light","BLANK",NA,620,0.62,-0.00123340185585625
"56","Blk1_3104D",142.059532441599,-0.00187966162487683,30.1210570300101,"Blk1","BLANK","3104D",31,"dark","BLANK",NA,620,0.62,-0.00116539020742363
"57","Blk1_3105",143.097580077085,-0.0024021331819055,29.9219118649634,"Blk1","BLANK","3105",31,"light","BLANK",NA,620,0.62,-0.00148932257278141
"58","Blk1_3105D",140.588055809472,-0.00176617996241901,30.0718046873127,"Blk1","BLANK","3105D",31,"dark","BLANK",NA,620,0.62,-0.00109503157669979
"59","Blk1_3106",134.276850283046,-0.00283079262755475,29.7964579847757,"Blk1","BLANK","3106",31,"light","BLANK",NA,620,0.62,-0.00175509142908394
"60","Blk1_3106D",130.72741138931,-0.00272860693249418,29.8979411777118,"Blk1","BLANK","3106D",31,"dark","BLANK",NA,620,0.62,-0.00169173629814639
"61","Blk1_3201",167.217600406935,-0.00119795326617143,31.428392475935,"Blk1","BLANK","3201",32,"light","BLANK",NA,620,0.62,-0.000742731025026287
"62","Blk1_3201D",166.022196917087,-0.000877023789945599,31.4040502745929,"Blk1","BLANK","3201D",32,"dark","BLANK",NA,620,0.62,-0.000543754749766271
"63","Blk1_3202",154.759042650938,-0.00101536961620881,31.2615909432251,"Blk1","BLANK","3202",32,"light","BLANK",NA,620,0.62,-0.000629529162049462
"64","Blk1_3202D",153.665995668767,-0.00109054347279966,31.2841955414241,"Blk1","BLANK","3202D",32,"dark","BLANK",NA,620,0.62,-0.000676136953135789
"65","Blk1_3203",150.607926375226,-0.00131525549203484,31.3385545606856,"Blk1","BLANK","3203",32,"light","BLANK",NA,620,0.62,-0.000815458405061601
"66","Blk1_3203D",149.309110809408,-0.00107525367847804,31.3840247850666,"Blk1","BLANK","3203D",32,"dark","BLANK",NA,620,0.62,-0.000666657280656385
"67","Blk1_3204",145.181807602964,-0.00281005174153143,31.2416087923455,"Blk1","BLANK","3204",32,"light","BLANK",NA,620,0.62,-0.00174223207974949
"68","Blk1_3204D",142.163344088552,-0.00156762460161663,31.3576535412589,"Blk1","BLANK","3204D",32,"dark","BLANK",NA,620,0.62,-0.000971927253002311
"69","Blk1_3205",137.640931105938,-0.00356799995326943,31.410735438506,"Blk1","BLANK","3205",32,"light","BLANK",NA,620,0.62,-0.00221215997102705
"70","Blk1_3205D",133.915152427016,-0.00308576165836392,31.4256834911202,"Blk1","BLANK","3205D",32,"dark","BLANK",NA,620,0.62,-0.00191317222818563
"71","Blk1_3206",127.669671406824,-0.00298288486223542,30.9821847178003,"Blk1","BLANK","3206",32,"light","BLANK",NA,620,0.62,-0.00184938861458596
"72","Blk1_3206D",124.41817440647,-0.00263941072037022,31.1336709322905,"Blk1","BLANK","3206D",32,"dark","BLANK",NA,620,0.62,-0.00163643464662954
"73","Blk1_3301",161.196508791472,-0.00214342184272363,32.4347185303672,"Blk1","BLANK","3301",33,"light","BLANK",NA,620,0.62,-0.00132892154248865
"74","Blk1_3301D",158.224568790367,-0.00174184683708721,32.5195685792785,"Blk1","BLANK","3301D",33,"dark","BLANK",NA,620,0.62,-0.00107994503899407
"75","Blk1_3302",147.329235625344,-0.00268321926207306,32.3604910411861,"Blk1","BLANK","3302",33,"light","BLANK",NA,620,0.62,-0.0016635959424853
"76","Blk1_3302D",143.32899448169,-0.00201784256938333,32.3646191968955,"Blk1","BLANK","3302D",33,"dark","BLANK",NA,620,0.62,-0.00125106239301766
"77","Blk1_3303",135.479670339279,-0.00238927573795986,32.2960723400806,"Blk1","BLANK","3303",33,"light","BLANK",NA,620,0.62,-0.00148135095753511
"78","Blk1_3303D",133.049127531015,-0.00159220879990929,32.3308603231257,"Blk1","BLANK","3303D",33,"dark","BLANK",NA,620,0.62,-0.00098716945594376
"79","Blk1_3304",127.97051364368,-0.00160946721689895,32.4695868258752,"Blk1","BLANK","3304",33,"light","BLANK",NA,620,0.62,-0.000997869674477349
"80","Blk1_3304D",125.89976397028,-0.00148522358212536,32.4457314351902,"Blk1","BLANK","3304D",33,"dark","BLANK",NA,620,0.62,-0.000920838620917723
"81","Blk1_3305",117.242554722611,-0.00221359231639234,32.2823165384575,"Blk1","BLANK","3305",33,"light","BLANK",NA,620,0.62,-0.00137242723616325
"82","Blk1_3305D",114.534348337205,-0.00176402771170274,32.4108276940693,"Blk1","BLANK","3305D",33,"dark","BLANK",NA,620,0.62,-0.0010936971812557
"83","Blk1_3306",115.016793351616,-0.00240244248866766,32.4305423832887,"Blk1","BLANK","3306",33,"light","BLANK",NA,620,0.62,-0.00148951434297395
"84","Blk1_3306D",112.665159962051,-0.00135146702282015,32.3656764933142,"Blk1","BLANK","3306D",33,"dark","BLANK",NA,620,0.62,-0.000837909554148493
"85","Blk1_3401",170.800228642663,-0.000651741266792889,33.0703698632254,"Blk1","BLANK","3401",34,"light","BLANK",NA,620,0.62,-0.000404079585411591
"86","Blk1_3401D",170.14833736128,-0.000802412813480146,33.1046996979371,"Blk1","BLANK","3401D",34,"dark","BLANK",NA,620,0.62,-0.00049749594435769
"87","Blk1_3402",153.278699911599,-0.0025934755130268,33.0887262757198,"Blk1","BLANK","3402",34,"light","BLANK",NA,620,0.62,-0.00160795481807662
"88","Blk1_3402D",150.433089320184,-0.00124609115713889,33.1878281551964,"Blk1","BLANK","3402D",34,"dark","BLANK",NA,620,0.62,-0.000772576517426112
"89","Blk1_3403",153.960967155885,-0.00342003739477373,33.0817142796791,"Blk1","BLANK","3403",34,"light","BLANK",NA,620,0.62,-0.00212042318475971
"90","Blk1_3403D",150.293954328411,-0.00268778306904102,33.1001856521549,"Blk1","BLANK","3403D",34,"dark","BLANK",NA,620,0.62,-0.00166642550280543
"91","Blk1_3404",136.60635187036,-0.00295455337141937,33.1026912482598,"Blk1","BLANK","3404",34,"light","BLANK",NA,620,0.62,-0.00183182309028001
"92","Blk1_3404D",133.582850902333,-0.00199945723280272,33.1099829485213,"Blk1","BLANK","3404D",34,"dark","BLANK",NA,620,0.62,-0.00123966348433769
"93","Blk1_3405",127.124815934568,-0.00265517598659689,33.0818829676661,"Blk1","BLANK","3405",34,"light","BLANK",NA,620,0.62,-0.00164620911169007
"94","Blk1_3405D",124.628385308023,-0.00172317789765218,33.1303954750726,"Blk1","BLANK","3405D",34,"dark","BLANK",NA,620,0.62,-0.00106837029654435
"95","Blk1_3406",119.909515081116,-0.00258616637866317,32.8085781187398,"Blk1","BLANK","3406",34,"light","BLANK",NA,620,0.62,-0.00160342315477117
"96","Blk1_3406D",117.379706065203,-0.00187947324463795,32.9629525556193,"Blk1","BLANK","3406D",34,"dark","BLANK",NA,620,0.62,-0.00116527341167553
"97","Blk1_3407",116.957333631179,-0.00255731137594778,32.9274259854635,"Blk1","BLANK","3407",34,"light","BLANK",NA,620,0.62,-0.00158553305308762
"98","Blk1_3407D",114.512751369635,-0.00179514289390837,32.9978098838751,"Blk1","BLANK","3407D",34,"dark","BLANK",NA,620,0.62,-0.00111298859422319
"99","Blk2_2701",174.163672056057,-0.000476423309211248,26.3758055632274,"Blk2","BLANK","2701",27,"light","BLANK",NA,620,0.62,-0.000295382451710974
"100","Blk2_2701D",173.558503973739,-0.000481527964602242,26.3350879609728,"Blk2","BLANK","2701D",27,"dark","BLANK",NA,620,0.62,-0.00029854733805339
"101","Blk2_2702",159.432204033819,-0.000365256754653651,26.3615418783766,"Blk2","BLANK","2702",27,"light","BLANK",NA,620,0.62,-0.000226459187885264
"102","Blk2_2702D",159.013914709003,-0.000271031551887992,26.3930223354302,"Blk2","BLANK","2702D",27,"dark","BLANK",NA,620,0.62,-0.000168039562170555
"103","Blk2_2703",162.577348905156,-0.000439214887734689,26.3210821882036,"Blk2","BLANK","2703",27,"light","BLANK",NA,620,0.62,-0.000272313230395507
"104","Blk2_2703D",162.04673486573,-0.000539309205581104,26.3073781467551,"Blk2","BLANK","2703D",27,"dark","BLANK",NA,620,0.62,-0.000334371707460284
"105","Blk2_2704",161.857691513485,-0.000722456527114241,26.3962691673682,"Blk2","BLANK","2704",27,"light","BLANK",NA,620,0.62,-0.000447923046810829
"106","Blk2_2704D",161.180396875405,-0.000684525719069947,26.3402638658259,"Blk2","BLANK","2704D",27,"dark","BLANK",NA,620,0.62,-0.000424405945823367
"107","Blk2_2705",160.402596778456,-0.000705793480114762,26.3303687758402,"Blk2","BLANK","2705",27,"light","BLANK",NA,620,0.62,-0.000437591957671152
"108","Blk2_2705D",159.659067494596,-0.000761785486699859,26.2992072276551,"Blk2","BLANK","2705D",27,"dark","BLANK",NA,620,0.62,-0.000472307001753913
"109","Blk2_2706",154.759704998617,-0.000762149856406496,26.4463347720415,"Blk2","BLANK","2706",27,"light","BLANK",NA,620,0.62,-0.000472532910972028
"110","Blk2_2706D",154.090813448342,-0.000589780390222193,26.398903755834,"Blk2","BLANK","2706D",27,"dark","BLANK",NA,620,0.62,-0.00036566384193776
"111","Blk2_2801",206.896656657297,5.35816855765492e-05,27.0873857186773,"Blk2","BLANK","2801",28,"light","BLANK",NA,620,0.62,3.32206450574605e-05
"112","Blk2_2801D",206.916950451265,-0.000184948593694101,27.0451544258084,"Blk2","BLANK","2801D",28,"dark","BLANK",NA,620,0.62,-0.000114668128090343
"113","Blk2_2802",191.540815354294,-0.000620389839820581,27.1973506148991,"Blk2","BLANK","2802",28,"light","BLANK",NA,620,0.62,-0.00038464170068876
"114","Blk2_2802D",190.848118069369,-0.000538438194315085,27.1779412725311,"Blk2","BLANK","2802D",28,"dark","BLANK",NA,620,0.62,-0.000333831680475353
"115","Blk2_2803",186.175175099627,-0.000795145082704796,27.1199059023094,"Blk2","BLANK","2803",28,"light","BLANK",NA,620,0.62,-0.000492989951276974
"116","Blk2_2803D",185.225316061818,-0.00088196317220856,27.1436116521586,"Blk2","BLANK","2803D",28,"dark","BLANK",NA,620,0.62,-0.000546817166769307
"117","Blk2_2804",180.736208687637,-0.000998393526644557,27.186663190352,"Blk2","BLANK","2804",28,"light","BLANK",NA,620,0.62,-0.000619003986519625
"118","Blk2_2804D",179.614439094563,-0.000945986867727144,27.1464864038509,"Blk2","BLANK","2804D",28,"dark","BLANK",NA,620,0.62,-0.000586511857990829
"119","Blk2_2805",174.660188465626,-0.00129956969686647,27.3764787679303,"Blk2","BLANK","2805",28,"light","BLANK",NA,620,0.62,-0.000805733212057211
"120","Blk2_2805D",172.902140244146,-0.00146605726033585,27.3086392790002,"Blk2","BLANK","2805D",28,"dark","BLANK",NA,620,0.62,-0.000908955501408227
"121","Blk2_2806",165.543453165747,-0.00145689642415125,27.1604581078852,"Blk2","BLANK","2806",28,"light","BLANK",NA,620,0.62,-0.000903275782973775
"122","Blk2_2806D",163.682177265454,-0.00161511950721257,27.1018336912526,"Blk2","BLANK","2806D",28,"dark","BLANK",NA,620,0.62,-0.00100137409447179
"123","Blk2_2901",196.736603441433,-0.000114663240783832,28.2734881930901,"Blk2","BLANK","2901",29,"light","BLANK",NA,620,0.62,-7.10912092859758e-05
"124","Blk2_2901D",196.657686239033,-0.000308181024876042,28.1937826323964,"Blk2","BLANK","2901D",29,"dark","BLANK",NA,620,0.62,-0.000191072235423146
"125","Blk2_2902",210.987407696248,-9.37598796957972e-05,28.4261823989236,"Blk2","BLANK","2902",29,"light","BLANK",NA,620,0.62,-5.81311254113943e-05
"126","Blk2_2902D",210.889976217488,-0.000115235677596138,28.4156011007822,"Blk2","BLANK","2902D",29,"dark","BLANK",NA,620,0.62,-7.14461201096056e-05
"127","Blk2_2903",166.281161384716,-0.000563577846904532,28.2978459911351,"Blk2","BLANK","2903",29,"light","BLANK",NA,620,0.62,-0.00034941826508081
"128","Blk2_2903D",165.478676353646,-0.000368216798439096,28.263569056381,"Blk2","BLANK","2903D",29,"dark","BLANK",NA,620,0.62,-0.00022829441503224
"129","Blk2_2904",179.205552932239,-0.000351831532115383,28.6454550039593,"Blk2","BLANK","2904",29,"light","BLANK",NA,620,0.62,-0.000218135549911537
"130","Blk2_2904D",178.77720980375,-0.000230000741369945,28.4398077166964,"Blk2","BLANK","2904D",29,"dark","BLANK",NA,620,0.62,-0.000142600459649366
"131","Blk2_2905",171.995545012229,-0.0013923659121641,28.2971198928497,"Blk2","BLANK","2905",29,"light","BLANK",NA,620,0.62,-0.000863266865541742
"132","Blk2_2905D",169.840032076182,-0.00156976377539564,28.2473655755853,"Blk2","BLANK","2905D",29,"dark","BLANK",NA,620,0.62,-0.000973253540745297
"133","Blk2_2906",172.050603929819,-0.00201087150052084,28.1044689933332,"Blk2","BLANK","2906",29,"light","BLANK",NA,620,0.62,-0.00124674033032292
"134","Blk2_2906D",170.046425395645,-0.0018261596015985,28.1386942642117,"Blk2","BLANK","2906D",29,"dark","BLANK",NA,620,0.62,-0.00113221895299107
"135","Blk2_3001",165.002636171533,-0.00206069920885345,29.0193899138601,"Blk2","BLANK","3001",30,"light","BLANK",NA,620,0.62,-0.00127763350948914
"136","Blk2_3001D",162.766954258079,-0.00213807300807243,29.0498103407341,"Blk2","BLANK","3001D",30,"dark","BLANK",NA,620,0.62,-0.00132560526500491
"137","Blk2_3002",160.479200216879,-0.00283123651271081,29.4256983636515,"Blk2","BLANK","3002",30,"light","BLANK",NA,620,0.62,-0.0017553666378807
"138","Blk2_3002D",157.245103298108,-0.00269442942928006,29.4273155766887,"Blk2","BLANK","3002D",30,"dark","BLANK",NA,620,0.62,-0.00167054624615364
"139","Blk2_3003",140.192739141299,-0.00305066096945625,29.2281655985016,"Blk2","BLANK","3003",30,"light","BLANK",NA,620,0.62,-0.00189140980106287
"140","Blk2_3003D",136.868060009727,-0.00282177390491946,29.2700848338655,"Blk2","BLANK","3003D",30,"dark","BLANK",NA,620,0.62,-0.00174949982105007
"141","Blk2_3004",133.423570269913,-0.0040651165643619,29.3483887896843,"Blk2","BLANK","3004",30,"light","BLANK",NA,620,0.62,-0.00252037226990438
"142","Blk2_3004D",137.226643346683,-0.00354311024074544,29.2774955320595,"Blk2","BLANK","3004D",30,"dark","BLANK",NA,620,0.62,-0.00219672834926217
"143","Blk2_3005",131.24378861192,-0.00403974483224816,29.1248282060557,"Blk2","BLANK","3005",30,"light","BLANK",NA,620,0.62,-0.00250464179599386
"144","Blk2_3005D",126.830120166343,-0.00397518776841857,29.1615780918639,"Blk2","BLANK","3005D",30,"dark","BLANK",NA,620,0.62,-0.00246461641641951
"145","Blk2_3006",166.162896636332,-0.0016878604583976,29.4071943640094,"Blk2","BLANK","3006",30,"light","BLANK",NA,620,0.62,-0.00104647348420651
"146","Blk2_3006D",164.367071546685,-0.00152044323145268,29.2895972517831,"Blk2","BLANK","3006D",30,"dark","BLANK",NA,620,0.62,-0.000942674803500662
"147","Blk2_3101",168.452322180677,-0.000858097725658173,30.3169320951619,"Blk2","BLANK","3101",31,"light","BLANK",NA,620,0.62,-0.000532020589908067
"148","Blk2_3101D",167.377015313473,-0.00123075142455008,30.3783998752195,"Blk2","BLANK","3101D",31,"dark","BLANK",NA,620,0.62,-0.00076306588322105
"149","Blk2_3102",164.456148265687,-0.0017837247101919,30.3636590226027,"Blk2","BLANK","3102",31,"light","BLANK",NA,620,0.62,-0.00110590932031898
"150","Blk2_3102D",162.536627581719,-0.00159782997946022,30.4241357348378,"Blk2","BLANK","3102D",31,"dark","BLANK",NA,620,0.62,-0.000990654587265337
"151","Blk2_3103",163.687768591302,-0.00208755042484392,30.2335292395004,"Blk2","BLANK","3103",31,"light","BLANK",NA,620,0.62,-0.00129428126340323
"152","Blk2_3103D",161.280342274649,-0.0018618324800959,30.1930573616075,"Blk2","BLANK","3103D",31,"dark","BLANK",NA,620,0.62,-0.00115433613765946
"153","Blk2_3104",149.161015880586,-0.0020320126385045,29.961314184411,"Blk2","BLANK","3104",31,"light","BLANK",NA,620,0.62,-0.00125984783587279
"154","Blk2_3104D",146.81379153472,-0.00193612206081697,29.9888013949891,"Blk2","BLANK","3104D",31,"dark","BLANK",NA,620,0.62,-0.00120039567770652
"155","Blk2_3105",143.632955082169,-0.00232006303178013,30.1419679545148,"Blk2","BLANK","3105",31,"light","BLANK",NA,620,0.62,-0.00143843907970368
"156","Blk2_3105D",141.104231350016,-0.00176333693356568,30.1864706082726,"Blk2","BLANK","3105D",31,"dark","BLANK",NA,620,0.62,-0.00109326889881072
"157","Blk2_3106",134.87516536894,-0.00285652343607332,29.9446070836996,"Blk2","BLANK","3106",31,"light","BLANK",NA,620,0.62,-0.00177104453036546
"158","Blk2_3106D",131.266155231824,-0.00276986662108952,30.0434213176467,"Blk2","BLANK","3106D",31,"dark","BLANK",NA,620,0.62,-0.0017173173050755
"159","Blk2_3201",162.921441912208,-0.00173655330907134,31.1673659279874,"Blk2","BLANK","3201",32,"light","BLANK",NA,620,0.62,-0.00107666305162423
"160","Blk2_3201D",161.256728223556,-0.00122896217390191,31.2137979921845,"Blk2","BLANK","3201D",32,"dark","BLANK",NA,620,0.62,-0.000761956547819184
"161","Blk2_3202",157.790685803808,-0.000818704310856502,31.3066128136437,"Blk2","BLANK","3202",32,"light","BLANK",NA,620,0.62,-0.000507596672731031
"162","Blk2_3202D",156.73410332425,-0.00112570799276403,31.3133256279743,"Blk2","BLANK","3202D",32,"dark","BLANK",NA,620,0.62,-0.000697938955513699
"163","Blk2_3203",151.918193318667,-0.00125768102631828,31.2915662272268,"Blk2","BLANK","3203",32,"light","BLANK",NA,620,0.62,-0.000779762236317334
"164","Blk2_3203D",150.67257053655,-0.00124446730396614,31.2986640661097,"Blk2","BLANK","3203D",32,"dark","BLANK",NA,620,0.62,-0.000771569728459007
"165","Blk2_3204",145.509523318044,-0.00297973884233082,31.2891007388436,"Blk2","BLANK","3204",32,"light","BLANK",NA,620,0.62,-0.00184743808224511
"166","Blk2_3204D",141.886298079593,-0.00200614500146641,31.3389858901822,"Blk2","BLANK","3204D",32,"dark","BLANK",NA,620,0.62,-0.00124380990090917
"167","Blk2_3206",128.610453481629,-0.00294673904938071,31.43039797026,"Blk2","BLANK","3206",32,"light","BLANK",NA,620,0.62,-0.00182697821061604
"168","Blk2_3206D",125.385702176782,-0.00267688527320106,31.42123971799,"Blk2","BLANK","3206D",32,"dark","BLANK",NA,620,0.62,-0.00165966886938466
"169","Blk2_3301",147.435577808138,-0.00160066807034927,32.4155425505912,"Blk2","BLANK","3301",33,"light","BLANK",NA,620,0.62,-0.000992414203616547
"170","Blk2_3301D",145.15637218516,-0.00132032843798885,32.4907233681235,"Blk2","BLANK","3301D",33,"dark","BLANK",NA,620,0.62,-0.000818603631553087
"171","Blk2_3302",141.73151488495,-0.00236675163204085,32.4981468229856,"Blk2","BLANK","3302",33,"light","BLANK",NA,620,0.62,-0.00146738601186533
