"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype"
"275","M501b","28","T1","27.1743642955771","0.513676692818415","NP","light","M501b","M5"
"277","M501b","29","T1","28.3648241852162","0.667922784439954","NP","light","M501b","M5"
"279","M501b","30","T1","29.4715972283206","-0.00822022799538508","NP","light","M501b","M5"
"281","M501b","31","T1","30.4613993184807","0.696744296551217","NP","light","M501b","M5"
"283","M501b","32","T1","31.260308821169","0.588120586315047","NP","light","M501b","M5"
"285","M501b","33","T1","32.46640824442","0.389762275490591","NP","light","M501b","M5"
"287","M501b","34","T1","33.0003241135661","0.0611377442811542","NP","light","M501b","M5"
"289","M501c","27","T1","26.513938482891","0.505616919435451","NP","light","M501c","M5"
"291","M501c","28","T1","27.1560701812316","0.543313297459612","NP","light","M501c","M5"
"293","M501c","29","T1","28.3341649759363","0.669045402516431","NP","light","M501c","M5"
"295","M501c","30","T1","29.1195179773166","0.632229337037146","NP","light","M501c","M5"
"297","M501c","31","T1","30.5097906623207","0.680406838397475","NP","light","M501c","M5"
"299","M501c","32","T1","31.2835696710802","0.5914446943527","NP","light","M501c","M5"
"301","M501c","33","T1","32.3977883104941","0.127482643131915","NP","light","M501c","M5"
"303","M501c","34","T1","33.0247432979673","0.109103747981221","NP","light","M501c","M5"
"305","M501d","27","T1","26.4509274558611","0.504942286214967","NP","light","M501d","M5"
"307","M501d","28","T1","27.0796097138555","0.56909016395204","NP","light","M501d","M5"
"309","M501d","29","T1","28.0993004124822","0.396243737292743","NP","light","M501d","M5"
"311","M501d","30","T1","29.1372860906815","0.6256065034947","NP","light","M501d","M5"
"313","M501d","31","T1","30.5366827179374","0.754635167413341","NP","light","M501d","M5"
"315","M501d","32","T1","31.1771531982179","0.369882504597475","NP","light","M501d","M5"
"317","M501d","33","T1","32.6108796385087","0.123518502849325","NP","light","M501d","M5"
"319","M501d","34","T1","32.9450982935504","0.0582105961778422","NP","light","M501d","M5"
"321","M502a","27","T2","26.3412842363674","0.397746029103257","NP","light","M502a","M5"
"323","M502a","28","T2","27.3373785165421","0.386386070988636","NP","light","M502a","M5"
"325","M502a","29","T2","28.2915970947065","0.662790281030342","NP","light","M502a","M5"
"327","M502a","30","T2","29.3766961712235","0.418417474623269","NP","light","M502a","M5"
"329","M502a","31","T2","29.8929547061235","0.571931067187397","NP","light","M502a","M5"
"331","M502a","32","T2","31.370272087971","0.0470530311178177","NP","light","M502a","M5"
"333","M502a","33","T2","32.4228128998567","0.429258255632454","NP","light","M502a","M5"
"335","M502a","34","T2","33.2419560213053","-0.0650718432213372","NP","light","M502a","M5"
"337","M502b","27","T2","26.3668093585767","0.493610155445248","NP","light","M502b","M5"
"339","M502b","28","T2","27.1075548341358","0.507846080826798","NP","light","M502b","M5"
"341","M502b","29","T2","28.3335910079824","0.610355361987934","NP","light","M502b","M5"
"343","M502b","30","T2","29.5341035368085","-0.0254639590152237","NP","light","M502b","M5"
"345","M502b","31","T2","30.2255643075231","0.580880973336594","NP","light","M502b","M5"
"347","M502b","32","T2","31.2345184618205","0.498664581979648","NP","light","M502b","M5"
"349","M502b","33","T2","32.3873032267509","0.226818888444034","NP","light","M502b","M5"
"351","M502b","34","T2","33.0342872752242","-0.0299544891213804","NP","light","M502b","M5"
"353","M502c","27","T2","26.4539087578804","0.351106227938187","NP","light","M502c","M5"
