"","genotype","temp.Cat","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"15","K2",30,"T2",0.465916319,4,0.0530339905183391,-0.488912463,0.0236079283818932,0.954828782,0.0543494383156766,29.272281985,0.0769334106710326
"16","K2",30,"T3",0.33723121775,4,0.1357873778167,-0.476349556,0.0207146886747749,0.81358077375,0.115833446934942,29.374649715,0.0459352244204298
"17","K2",31,"C",0.702174664,4,0.0564034264103562,-0.53291434575,0.0471338708666049,1.23508900975,0.100096997734249,30.188804755,0.0971068487485478
"18","K2",31,"T1",0.67925396475,4,0.083826124600605,-0.533696519,0.020649016051986,1.21295048375,0.103981295123695,30.1813697275,0.130825896649563
"19","K2",31,"T2",0.61309732025,4,0.0463135354920521,-0.5338540035,0.0449408289050554,1.14695132375,0.0699063970477549,30.1237268775,0.173540586465085
"20","K2",31,"T3",0.75075256125,4,0.0596750946131528,-0.55732734825,0.0292595509265607,1.3080799095,0.0880731947215557,30.2972196475,0.103050572734162
"21","K2",32,"C",0.43370057375,4,0.0918665837034103,-0.471891687,0.0286888952353895,0.90559226075,0.105307342471089,31.29703038,0.0124436535306505
"22","K2",32,"T1",0.6159084835,4,0.109758100158531,-0.5173915035,0.0244320082561749,1.133299987,0.128710131405255,31.3495918375,0.0585555365770663
"23","K2",32,"T2",0.5958717245,4,0.17294629660193,-0.48697603025,0.0482863406130311,1.08284775475,0.206701452079235,31.369210025,0.0464939386531037
"24","K2",32,"T3",0.4675737035,4,0.138519136649518,-0.51649013675,0.0461062323348982,0.98406384025,0.183905884052611,31.3022859625,0.0360912293239863
"25","K2",33,"C",0.35436040175,4,0.11626165135766,-0.47726541675,0.0506123986886315,0.8316258185,0.162507022873799,32.51838357,0.0261920149704788
"26","K2",33,"T1",0.58171880875,4,0.0845625960448613,-0.5239567735,0.0183944907480679,1.10567558225,0.0981621763211285,32.5045250825,0.0473849327784929
"27","K2",33,"T2",0.4140199455,4,0.0698266650265771,-0.5123766305,0.0374603571809518,0.926396576,0.105790132865836,32.51742973,0.066131558346033
"28","K2",33,"T3",0.40088842425,4,0.0785636195358041,-0.479396419,0.0199765191335002,0.88028484325,0.0790727993098351,32.4176488625,0.0301404704670344
"29","K2",34,"C",0.00209570625,4,0.0476623917068796,-0.42435221075,0.0270862794459605,0.426447917,0.0727024869125088,33.0667218875,0.0415193019506632
"30","K2",34,"T1",0.1180395195,4,0.0868914255773765,-0.44453820475,0.0212718822439121,0.56257772425,0.0886937956967765,33.156014795,0.0779675499273164
"31","K2",34,"T2",0.0302815135,4,0.0598485956599683,-0.39967525,0.0373817868772268,0.4299567635,0.066043879809035,33.1173289025,0.0481659544772876
"32","K2",34,"T3",-0.04407641425,4,0.03468811595614,-0.39207147775,0.0264365367631061,0.3479950635,0.020924362651414,33.0946856225,0.017614525452827
"33","M5",27,"C",0.80735003675,4,0.352365907107944,-0.91650925975,0.469648578732998,1.7238592965,0.821779123065066,26.463370505,0.0277707386055807
"34","M5",27,"T1",0.43876648275,4,0.0456871512591649,-0.41454133525,0.00915808563567394,0.853307818,0.0470019612714468,26.3956767,0.0534553783549653
"35","M5",27,"T2",0.42020848875,4,0.0302729054969762,-0.412142178,0.012934528373548,0.83235066675,0.0324069636444634,26.34411657,0.0494866307267527
"36","M5",27,"T3",0.40400616275,4,0.0197504659278725,-0.400664791,0.0212798162823879,0.80467095375,0.0337460108535045,26.40336176,0.0396575288521276
"37","M5",28,"C",0.946128789,4,0.463999373525776,-0.91155375875,0.387955410287148,1.85768254775,0.85011724593731,27.1750744325,0.0439747226176037
"38","M5",28,"T1",0.519763661,4,0.0249758780230075,-0.48780872125,0.0227948904233885,1.00757238225,0.0375623055566532,27.139041105,0.0206557542886064
"39","M5",28,"T2",0.44541974275,4,0.0269302109160802,-0.4417082915,0.0215230841192727,0.88712803425,0.0335498197969484,27.1432068775,0.0789029009119562
"40","M5",28,"T3",0.408162526,4,0.0193899242514011,-0.47383999575,0.0260127493544648,0.88200252175,0.0440985370008897,27.1799760975,0.0263810146453366
"41","M5",29,"C",1.18359529725,4,0.526071612648112,-0.969643057,0.424101759982614,2.15323835425,0.949051928406738,28.557379115,0.0809605507672281
"42","M5",29,"T1",0.592613429,4,0.0658698795102178,-0.4701284165,0.0305475307915111,1.0627418455,0.073513155318924,28.291894005,0.0646706586236741
"43","M5",29,"T2",0.5757282865,4,0.0367765701565257,-0.4499547825,0.0433746299992508,1.025683069,0.0786035519245019,28.406567555,0.0652659821649582
"44","M5",29,"T3",0.51046142975,4,0.0979262370546933,-0.463262358,0.0094299273939489,0.97372378775,0.0981371797579434,28.46187536,0.0888966136839704
"45","M5",30,"C",0.245799529,4,0.177204686884556,-1.02375744375,0.410768236200001,1.26955697275,0.309414354911963,29.254382715,0.0906111098760819
"46","M5",30,"T1",0.33052083425,4,0.173070430504735,-0.528070926,0.0213144555261658,0.85859176025,0.18948038178562,29.248965865,0.0812075348954322
