"","individual.ID","genotype","rate.type","treatment","E","Eh","lnc","Th"
"48","M503a","M5","GP","T3",0.0908402750695744,18.4232217141189,0.594570413659134,306.456143412768
"49","M503a","M5","R","T3",0.11921344129918,9.61420812006287,0.354389431327277,307.638488475787
"50","M503b","M5","GP","T3",0.327145084904035,6.96271690283065,0.606611844571603,306.375564802191
"51","M503b","M5","R","T3",0.525923132096385,1.77371413762644,0.617796183064027,306.040064046776
"52","M503c","M5","GP","T3",0.27804744297379,14.9326751934387,0.568061915830214,306.52237349915
"53","M503c","M5","R","T3",1.37327218773152,2.34667298237907,0.848911277086674,301.427242549034
"54","M503d","M5","GP","T3",0.0523566296193413,42.3125510274943,0.639037495965674,306.538602913777
"55","M503d","M5","R","T3",0.181843084585977,5.09002572704433,0.388082977954116,308.581268811802
"56","M50Ca","M5","R","C",0.843489498050925,2.57689618002176,0.642760214308085,304.624707200431
"57","M50Cb","M5","GP","C",1.09415018425388,4.77026408737424,0.75653053184559,304.591562307407
"58","M50Cb","M5","R","C",0.629120884002658,2.85930866120011,0.51169483259753,306.410622158396
"59","M50Cc","M5","GP","C",0.272028089147081,16.4387664295144,0.628106385651646,306.281868583065
"60","M50Cc","M5","R","C",0.46734470015479,3.96377378391543,0.38717822663528,307.409749117054
"61","M50Cd","M5","GP","C",0.0288481937399176,21.7369703902757,1.62478134169731,306.134662487676
"62","M50Cd","M5","R","C",0.0181956822901603,12.2224037151319,1.16720548850012,306.981282370121
"63","M601a","M6","GP","T1",0.446457360424512,12.869403121325,0.609411433263335,306.532101520016
"64","M601a","M6","R","T1",0.184688213443149,8.44745956103392,0.332858004351887,307.824592443782
"65","M601b","M6","GP","T1",0.146833513834741,17.9917080148807,0.771513078670573,306.18360387363
"66","M601b","M6","R","T1",6.59904266226319,6.77865433601881,2.81682122342894,297.543484467531
"67","M601c","M6","GP","T1",2.56727077843607,4.04596219135492,1.25846732740837,300.740416694336
"68","M601c","M6","R","T1",0.317247756221019,7.52312903124942,0.357810971478322,307.050003291387
"69","M601d","M6","GP","T1",0.125092229470205,19.0729485461717,0.636224072768994,306.480839717025
"70","M601d","M6","R","T1",0.28440393614564,4.53787406736389,0.337013855659506,307.913432853468
"71","M602a","M6","GP","T2",0,11.6341257731343,0.630982998385625,306.741805606539
"72","M602a","M6","R","T2",0,2.89854772703769,0.388217889290277,312.367135578802
"73","M602b","M6","GP","T2",0.317848105136576,12.4199477136122,0.549226874541641,306.362735849921
"74","M602b","M6","R","T2",0.112510947296868,8.35186219997865,0.313657048352807,308.189569620696
"75","M602c","M6","GP","T2",0,14.4184257787574,0.658751345671729,306.518049425178
"76","M602c","M6","R","T2",6.48602089198763,6.68742341642244,2.74126369951308,297.563266692396
"77","M602d","M6","GP","T2",0.178102609380405,16.9955850358015,0.618717719631322,306.37615408574
"78","M602d","M6","R","T2",0.0924933660503439,24.9913183269738,0.342783758128368,307.011253443187
"79","M603a","M6","GP","T3",1.51817752828807,3.41030652711421,0.998338124669969,302.297125256045
"80","M603a","M6","R","T3",1.13755454046663,2.27922807592923,0.790485695603129,302.211945908917
"81","M603b","M6","GP","T3",0.180076820571446,23.4004814050313,0.554767277058902,306.393874268337
"82","M603b","M6","R","T3",0.237706148723881,4.95262939415639,0.339555941970391,308.067927058332
"83","M603c","M6","GP","T3",0.186024502121917,15.5471658588851,0.596509378972274,306.435298410822
"84","M603c","M6","R","T3",1.46388218642485,1.92273594025343,1.51315017121562,297.062983603299
"85","M603d","M6","GP","T3",0.454487115218439,8.42851155977763,0.714770861513533,305.931824546824
"86","M603d","M6","R","T3",0.216241066992302,3.89558987543576,0.409063335794499,308.586891317433
"87","M60Ca","M6","R","C",0.0671281732598262,9.66601324529758,0.337951145334977,308.014282555941
"88","M60Cb","M6","GP","C",0,12.6924937879551,0.647121323969852,306.730753872394
"89","M60Cb","M6","R","C",0.0552494700806354,191.014912217764,0.334947375535323,306.396500203036
"90","M60Cc","M6","GP","C",0.11281072410158,30.9655138597494,0.58171576778502,306.219921188748
"91","M60Cc","M6","R","C",0.0529263618642436,10.9514570543871,0.333513946560763,308.00630183936
"92","M60Cd","M6","GP","C",0.10931580852819,17.4222956582606,0.613770524862542,306.628477384376
"93","M60Cd","M6","R","C",0.162643104857924,6.41323947182445,0.328957763464539,308.447395171968
