"","term","estimate","std.error","statistic","p.value","genotype","treatment","rate.type"
"27","Eh",6.31793506988805,5.23449010117571,1.20698195006023,0.313927777015727,"SC2","shallow","GP"
"28","Th",309.398138024245,1.07424131057082,288.015490541729,9.23005650433795e-08,"SC2","shallow","GP"
"29","lnc",0.923817302563621,0.090121884404627,10.2507543940813,0.000510580902256874,"SC1","shallow","GP"
"30","E",0.0754265876988914,0.147343130125366,0.511911126326115,0.635679978495609,"SC1","shallow","GP"
"31","Eh",6.17094702939113,3.875060817672,1.59247746545006,0.186494686373976,"SC1","shallow","GP"
"32","Th",308.904891216623,0.755418253194904,408.919019245518,2.14577753269225e-10,"SC1","shallow","GP"
"33","lnc",1.21578973348508,0.193996054386637,6.26708485040622,0.00330786177544315,"MC3","deep","GP"
"34","E",0.340328233121909,0.239863968047792,1.41883850205505,0.228944317382291,"MC3","deep","GP"
"35","Eh",2.89847629133287,0.82362230868663,3.51918137811839,0.0244681238963922,"MC3","deep","GP"
"36","Th",306.289459724626,2.34402936415027,130.667927803737,2.05733815955786e-08,"MC3","deep","GP"
"37","lnc",0.944865269300036,0.0821391333656672,11.5032291014525,0.000326063855337843,"MC1","deep","GP"
"38","E",0.12315787944423,0.113741841147352,1.08278429645498,0.339813152058269,"MC1","deep","GP"
"39","Eh",3.42511774875631,0.908458645171023,3.77025169716065,0.0196002021155762,"MC1","deep","GP"
"40","Th",308.370519327764,1.07542813886528,286.742096643608,8.87462910609849e-10,"MC1","deep","GP"
"41","lnc",57.4750942491203,3920212.98158726,1.46612172652541e-05,0.999989004087052,"SL3","shallow","R"
"42","E",52.8193405775792,3809495.63489884,1.38651794462502e-05,0.999989601115416,"SL3","shallow","R"
"43","Eh",52.6925380369734,3809495.62921111,1.38318935538155e-05,0.999989626079835,"SL3","shallow","R"
"44","Th",291.994466338341,26811.6113205674,0.0108905974671634,0.991832253718429,"SL3","shallow","R"
"45","lnc",1.31336799186167,4.08725633598776,0.321332425445802,0.764048171067012,"SL2","shallow","R"
"46","E",0.53120533946948,1.79084119851506,0.296623363316607,0.781518357876099,"SL2","shallow","R"
"47","Eh",0.878353116207031,0.475453886662483,1.84739917129032,0.138406016695962,"SL2","shallow","R"
"48","Th",299.046493739479,66.8858171623672,4.47100007784214,0.0110661593389389,"SL2","shallow","R"
"49","lnc",37.0622251376937,25956.8596467586,0.00142783933195562,0.998950388366557,"SL1","shallow","R"
"50","E",33.7691032212233,25996.1916620666,0.00129900193306002,0.999045097290196,"SL1","shallow","R"
"51","Eh",33.6639688674286,25996.1582983533,0.00129495937365334,0.999048068993279,"SL1","shallow","R"
"52","Th",291.963571613426,483.664469520517,0.603648996385583,0.588665607012961,"SL1","shallow","R"
"53","lnc",0.523310042655187,0.0497018416537017,10.528986959907,0.000460181612777473,"ML3","deep","R"
"54","E",0.108580304871329,0.0794089653991479,1.36735574283774,0.243310036001596,"ML3","deep","R"
"55","Eh",5.44238715268854,22.6290791658674,0.240504136858453,0.821763037557681,"ML3","deep","R"
"56","Th",313.405458315852,11.5849365869547,27.0528419351698,1.11007901823461e-05,"ML3","deep","R"
"57","lnc",1.16614852805585,3.33157551601392,0.350029144604562,0.743970370793239,"ML2","deep","R"
"58","E",0.0538938950054056,0.104302539195572,0.516707411162371,0.632614896727605,"ML2","deep","R"
"59","Eh",3.95413482101137e-08,0.152818285061462,2.58747493431237e-07,0.99999980593938,"ML2","deep","R"
"60","Th",292.83177838409,1234298265.53833,2.37245556086375e-07,0.999999822065833,"ML2","deep","R"
"61","lnc",57.9314268121141,5636916.11675548,1.02771489964017e-05,0.999992732958254,"ML1","deep","R"
