Genotype,coral ID,Treatment,Blastate vol (ml),Protein sub sample (ml),Protein A562 - rep 1,Protein A562 - rep 2,Protein A562 - rep 3,Protein A562 - rep 4,"Protein avg A562 1,3","Protein avg A562 2,4",Final Protein Avg,Protein ug/ml ,Protein 3D ug/cm2,zoox 1,zoox 2,zoox 3,zoox 4,total zoox,sqrs 1,sqrs 2,sqrs 3,sqr 4,total sqrs,zoox/ml,zoox/coral,zoox/cm2 3D,zoox/cm2log10,zoox/protein,Chl Subsample(ml),750a,663a,630a,750b,663b,630b,663a corrected,630a corrected,663b corrected,630b corrected,Avg 663,Avg 630,C value ug ml,Chl(ug)a,Chl (ug),Chl/zoox (pg),Chl/protein,Chl ng/cm2 3D,Chl ug/cm2,Chl ug/cm2 log10,SA cm2,Coral ID,bw_ini,bw_fi,growth,growth.rate
M5,M503c,3,20.5,1.5,0.82,0.601,na,na,0.82,0.601,0.7105,14.56525,0.79005381,106,120,143,146,515,4,5,6,5,20,257500,5278750,286331.9579,5.456869823,362420.8304,5,0.006,0.076,0.034,0.008,0.078,0.035,0.07,0.028,0.07,0.027,0.07,0.0275,0.7825,16.04125,16.04125,3.038834951,1.101337087,870.1155615,0.870115562,-0.060423064,18.43576958,M503c,3.021506443,3.114671754,0.03083406,3.083405992
M5,M503d,3,47.5,1.5,0.564,0.56,na,na,0.564,0.56,0.562,26.695,0.716393851,70,91,103,104,368,9,9,8,9,35,105142.8571,4994285.714,134027.9294,5.127195308,187086.9344,5,0.003,0.092,0.036,0.008,0.111,0.048,0.089,0.033,0.103,0.04,0.096,0.0365,1.07392,51.0112,51.0112,10.21391304,1.91088968,1368.949616,1.368949616,0.136387464,37.26302225,M503d,4.606111073,4.84844103,0.052610533,5.261053281
M5,M501a,1,35,1.5,0.602,0.56,0.503,0.483,0.5525,0.5215,0.537,18.795,0.708680792,115,155,87,75,432,7,5,9,9,30,144000,5040000,190037.3074,5.278838868,268156.4246,5,0.008,0.163,0.061,0.009,0.169,0.062,0.155,0.053,0.16,0.053,0.1575,0.053,1.766305,61.820675,61.820675,12.26600694,3.289208566,2330.998932,2.330998932,0.367542075,26.52110825,M501a,5.982225,6.101320905,0.019908296,1.990829585
M5,M502a,2,27.5,1.5,0.78,0.747,na,na,0.78,0.747,0.7635,20.99625,0.951572421,104,115,103,108,430,7,8,6,5,26,165384.6154,4548076.923,206123.692,5.314127913,216613.7726,5,0.007,0.143,0.053,0.013,0.15,0.061,0.136,0.046,0.137,0.048,0.1365,0.047,1.530115,42.0781625,42.0781625,9.25185814,2.004079895,1907.027158,1.907027158,0.280356878,22.06479458,M502a,6.9933293,7.090186238,0.013849904,1.384990382
M5,M501c,1,77.5,1.5,0.814,0.838,na,na,0.814,0.838,0.826,64.015,1.393466418,101,106,109,59,375,8,3,9,9,29,129310.3448,10021551.72,218147.2433,5.338749729,156550.0543,5,0.003,0.05,0.02,0.004,0.06,0.024,0.047,0.017,0.056,0.02,0.0515,0.0185,0.576805,44.7023875,44.7023875,4.460625333,0.698311138,973.0731201,0.97307312,-0.011854524,45.93939199,M501c,6.85929,7.148133423,0.042109814,4.210981354
M5,M50Cb,c,45,1.5,0.702,0.648,na,na,0.702,0.648,0.675,30.375,0.884530443,113,101,112,119,445,3,3,3,4,13,342307.6923,15403846.15,448565.296,5.651825671,507122.5071,5,0.008,0.186,0.068,0.012,0.193,0.075,0.178,0.06,0.181,0.063,0.1795,0.0615,2.012325,90.554625,90.554625,5.878702247,2.981222222,2636.981813,2.636981813,0.421107135,34.3402539,M50Cb,6.554844176,6.789550323,0.035806518,3.580651822
M5,M502d,2,32.5,1.5,1.028,1.019,na,na,1.028,1.019,1.0235,33.26375,0.998714111,126,121,133,111,491,5,6,5,4,20,245500,7978750,239554.7771,5.379404836,239863.2145,5,0.011,0.284,0.108,0.009,0.287,0.109,0.273,0.097,0.278,0.1,0.2755,0.0985,3.085925,100.2925625,100.2925625,12.56995927,3.015070835,3011.19379,3.01119379,0.478738706,33.30657855,M502d,5.000557095,5.16635882,0.033156651,3.315665069
M5,M5RNi,i,37.5,1.5,1.271,1.222,na,na,1.271,1.222,1.2465,46.74375,1.437073951,131,142,107,106,486,5,4,4,4,17,285882.3529,10720588.24,329590.1184,5.517974182,229348.0569,5,0.055,1.834,0.632,0.041,1.819,0.617,1.779,0.577,1.778,0.576,1.7785,0.5765,19.959295,748.4735625,748.4735625,69.81646399,16.01227036,23010.81663,23.01081663,1.361932032,32.52703172,M5RNi,5,5,0,0
M5,M50Ca,c,35,1.5,0.786,0.792,0.832,0.789,0.809,0.7905,0.79975,27.99125,0.756604898,115,138,110,145,508,3,3,2,3,11,461818.1818,16163636.36,436903.9052,5.640385927,577453.1814,5,0.009,0.193,0.071,0.012,0.194,0.074,0.184,0.062,0.182,0.062,0.183,0.062,2.05201,71.82035,71.82035,4.44332874,2.565814317,1941.307679,1.941307679,0.288094372,36.99586149,M50Ca,8.587398825,8.85852333,0.031572367,3.157236667
M5,M501d,1,35,1.5,0.644,0.677,na,na,0.644,0.677,0.6605,23.1175,0.77151401,139,127,103,104,473,3,3,6,6,18,262777.7778,9197222.222,306944.3406,5.48705963,397846.7491,5,0.009,0.25,0.1,0.02,0.26,0.111,0.241,0.091,0.24,0.091,0.2405,0.091,2.690675,94.173625,94.173625,10.23935518,4.073694171,3142.912124,3.142912124,0.497332238,29.96381104,M501d,4.288095,4.481293964,0.04505473,4.505473041
M5,M501b,1,37.5,1.5,0.567,0.559,na,na,0.567,0.559,0.563,21.1125,0.797530731,103,129,117,116,465,4,3,4,3,14,332142.8571,12455357.14,470504.6813,5.672563949,589951.7889,5,0.009,0.072,0.037,0.009,0.077,0.042,0.063,0.028,0.068,0.033,0.0655,0.0305,0.729145,27.3429375,27.3429375,2.195275269,1.295106572,1032.887291,1.032887291,0.014052934,26.47233415,M501b,5.58306,5.764811296,0.032554065,3.255406455
M5,M502b,2,35,1.5,0.811,0.776,na,na,0.811,0.776,0.7935,27.7725,0.948522511,118,134,113,117,482,3,4,4,3,14,344285.7143,12050000,411547.2594,5.614419714,433882.4377,5,0.012,0.277,0.1,0.019,0.286,0.112,0.265,0.088,0.267,0.093,0.266,0.0905,2.98246,104.3861,104.3861,8.662746888,3.758613737,3565.12974,3.56512974,0.552075339,29.27974789,M502b,6.429663599,6.559808943,0.020241392,2.024139243
M5,M503b,3,27.5,1.5,1.256,1.284,na,na,1.256,1.284,1.27,34.925,1.194124836,116,107,106,107,436,4,3,3,3,13,335384.6154,9223076.923,315347.322,5.498789147,264082.3743,5,0.006,0.239,0.081,0.009,0.243,0.088,0.233,0.075,0.234,0.079,0.2335,0.077,2.619625,72.0396875,72.0396875,7.810808486,2.06269685,2463.117539,2.463117539,0.391485137,29.24736086,M503b,5.428703673,5.610919611,0.033565276,3.356527618
